field_id,period_start,model_a,model_b,median_change_1024_to_2048,central95_width_at2048,median2048_minus_full,passes_operational_screen
11,2015,biobert,simcse,0.0037215706946474025,0.029141198179351346,0.00329905339736003,True
11,2020,specter,specter2,0.0008186530224545407,0.010162489794971696,0.0008023168592214969,True
11,2020,specter,scincl,0.0014888836289671525,0.008765530457318649,0.00019647496188024416,True
11,2020,specter,scibert,0.0010883130711909494,0.01978220897012306,0.0016754870687660794,True
11,2020,specter,bert,0.0036819985413399925,0.01963271400963984,0.0004722274463533349,True
11,2020,specter,mpnet,5.471768007769828e-05,0.008738194423858259,0.000165275873550641,True
11,2020,specter,minilm,0.00040306394881850505,0.013712436000582473,0.00045261791061967926,True
11,2020,specter,pubmedbert,0.006380361857891148,0.023018370793686738,-0.0005055149340350562,True
11,2020,specter,biobert,0.005601994142965028,0.044741848851163835,0.00067521490970468,False
11,2020,specter,simcse,0.0004662722261443708,0.017276881131332966,0.000278051037363114,True
11,2020,specter2,scincl,0.00023762655902448415,0.009368449620469899,0.0008288069376637397,True
11,2020,specter2,scibert,0.0023487605044631987,0.017922225452747242,-5.287263803188669e-05,True
11,2020,specter2,bert,0.0009660558207542636,0.016357728281117978,0.0009138932977971193,True
11,2020,specter2,mpnet,0.0012612999675455372,0.008706359149401433,0.0002513875438997504,True
11,2020,specter2,minilm,0.00040218563748595226,0.011984944369298756,0.0005101062431903669,True
11,2020,specter2,pubmedbert,0.005621549996227493,0.019998213862996272,0.00043900954696063366,True
11,2020,specter2,biobert,0.004222120238685734,0.036488438916665034,0.0010134668569687366,True
11,2020,specter2,simcse,0.0008383038914355767,0.01681681556018222,-0.00014752899949938003,True
11,2020,scincl,scibert,0.0006427486832996099,0.021251419552830275,0.0009517198026023355,True
11,2020,scincl,bert,0.0020256162012616263,0.01853818703843635,0.0013845597955852718,True
11,2020,scincl,mpnet,0.0007931071997446804,0.008296987611246975,0.00010867431819450157,True
11,2020,scincl,minilm,0.0013710971273626082,0.011428501853670392,-0.0005856069062939451,True
11,2020,scincl,pubmedbert,0.006263557580542922,0.022578900441287297,-0.0014673698470117902,True
11,2020,scincl,biobert,0.0045089868694193624,0.040601392611227194,-0.00046841198533076334,False
11,2020,scincl,simcse,0.001587242442077752,0.01607923178266918,0.0003021261083375748,True
11,2020,scibert,bert,0.001073453586006634,0.012117234805796184,0.0012876435951530985,True
11,2020,scibert,mpnet,0.0018563993869011863,0.02499414304021097,0.0009921670781454228,True
11,2020,scibert,minilm,0.0012410928012018818,0.020990783258780343,0.0010685940266459415,True
11,2020,scibert,pubmedbert,0.004174129667636195,0.014499430865117069,-0.0015168250939894268,True
11,2020,scibert,biobert,0.0025282752393683827,0.028055170159677068,-2.0876956081217202e-05,True
11,2020,scibert,simcse,0.0008787752320172926,0.013479523713518238,0.0003240987052797184,True
11,2020,bert,mpnet,0.0027010293664522234,0.022683405682184188,0.0004216643205404713,True
11,2020,bert,minilm,0.002072548263310603,0.01895787076467792,0.0008499492581556245,True
11,2020,bert,pubmedbert,0.00215325253820442,0.012850676972130493,0.00035864337917945743,True
11,2020,bert,biobert,0.005202007327993141,0.03055926722132385,-0.0005174627846369351,True
11,2020,bert,simcse,0.001077739370039077,0.012446349629871234,-0.0001255984387195097,True
11,2020,mpnet,minilm,0.0006522071060857115,0.008280899429728095,0.0002570068246535717,True
11,2020,mpnet,pubmedbert,0.0067173138856408965,0.0240812240123911,-0.001302387839204,True
11,2020,mpnet,biobert,0.008926155899074861,0.04299254289387222,0.00036602129846219356,False
11,2020,mpnet,simcse,0.0015612795958142023,0.021728290425791608,-7.138328766409519e-05,True
11,2020,minilm,pubmedbert,0.005748871948295542,0.0220045150535913,-0.0005442101310063063,True
11,2020,minilm,biobert,0.0082860308645476,0.04126583352390489,-0.0005010620407188693,False
11,2020,minilm,simcse,0.0007312987249395997,0.019777113706916927,0.0008721594020981716,True
11,2020,pubmedbert,biobert,0.0007711029304815487,0.018098639665752758,-0.0011522575721391037,True
11,2020,pubmedbert,simcse,0.0002726097767555835,0.019745098850370568,-0.00015319388299861458,True
11,2020,biobert,simcse,0.002698606294605499,0.038823650542548105,-0.00016528318099406913,True
12,2000,specter,specter2,0.00179008341977549,0.004077457853129185,8.906646306372501e-05,True
12,2000,specter,scincl,0.0009882692047095132,0.002952626769086697,0.00031117548081782687,True
12,2000,specter,scibert,0.0018141332297090806,0.007873820531151154,0.0011247115932335183,True
12,2000,specter,bert,0.0011396194921874936,0.0063853853648660475,0.00036675132397334664,True
12,2000,specter,mpnet,0.0006364336988559094,0.004729476493136708,0.0004303593043338827,True
12,2000,specter,minilm,0.00036025826347940715,0.004443000343103076,0.00019940747092572764,True
12,2000,specter,pubmedbert,0.0034736663855724492,0.009518494235981334,1.3730072381645808e-05,True
12,2000,specter,biobert,0.004461967001818834,0.010143645863525508,0.0008424842182245817,True
12,2000,specter,simcse,0.0006009350612546926,0.006033079721851631,7.978640629829892e-05,True
12,2000,specter2,scincl,0.00035479278342864795,0.00381805951450076,-0.00020893999010107578,True
12,2000,specter2,scibert,0.0021880403939946724,0.007973903315539266,0.0007734663311694256,True
