stage,field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity,rsa_spearman
primary,11,2010,0.5064592320036796,0.5004400328392272,mpnet/mean,simcse/cls,3940,54.78298272526785,0.5766749888836635,0.44802019770705165
primary,11,2010,0.4647708289844089,0.4595415510666713,minilm/mean,pubmedbert/mean,3940,56.73412075752921,0.5485249810399627,0.4375559969538885
primary,11,2010,0.4852244698755753,0.4801131835652012,minilm/mean,biobert/mean,3940,56.607494512536974,0.55037153400325,0.44050672748577013
primary,11,2010,0.5342458733391626,0.5281727410056378,minilm/mean,simcse/cls,3940,55.683541912769094,0.5637633206122398,0.5067063682312695
primary,11,2010,0.8370485881568944,0.8354340081075421,pubmedbert/mean,biobert/mean,3940,34.72079217735176,0.8219373999426486,0.8804200053680499
primary,11,2010,0.5832622162418919,0.5799874484301748,pubmedbert/mean,simcse/cls,3940,49.721070516185755,0.646509264592205,0.6297138261187861
primary,11,2010,0.5842106808587754,0.5810881259730277,biobert/mean,simcse/cls,3940,49.913423495411784,0.6439444030929434,0.6310327465645796
primary,11,2015,0.745957925385762,0.7442402278649481,specter/cls,specter2/cls,4298,45.347317115058694,0.70280745676906,0.625562041533905
primary,11,2015,0.849431710631572,0.8484801158503062,specter/cls,scincl/cls,4298,38.00910155736639,0.787912944520019,0.7985522760643823
primary,11,2015,0.6014192028077726,0.5988295925993717,specter/cls,scibert/mean,4298,48.516334791901926,0.6624064970835951,0.4824117612840287
