model,field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity
scibert,17,2015,0.7418331490029112,0.741032959518485,scibert/mean,scibert/cls,6858,43.49258126733,0.7254634939846197
scibert,17,2015,0.7260604703052095,0.7250927448164166,scibert/mean,scibert/sep,6858,43.01432560618506,0.7311831593960979
scibert,17,2015,0.8987095515765104,0.8983727782452275,scibert/cls,scibert/sep,6858,24.805429529411345,0.9077377258500968
scibert,17,2020,0.7778180694401468,0.7774126473762583,scibert/mean,scibert/cls,9972,43.583755151922,0.7243673574575149
scibert,17,2020,0.7637855664219259,0.7633142344960091,scibert/mean,scibert/sep,9972,43.26508198420515,0.7281905837381618
scibert,17,2020,0.9007117370950203,0.900517204339656,scibert/cls,scibert/sep,9972,25.655348672963292,0.9014147036831589
scibert,18,2000,0.7306073688777157,0.7264406558063627,scibert/mean,scibert/cls,2166,42.20619552603384,0.7407319572447133
scibert,18,2000,0.6802145745021039,0.6748562553479882,scibert/mean,scibert/sep,2166,42.505583203430284,0.7372115002310409
scibert,18,2000,0.8803233120785995,0.8786551054561594,scibert/cls,scibert/sep,2166,24.288149927557118,0.9114883676858553
scibert,18,2005,0.7788932871152975,0.7762086225100547,scibert/mean,scibert/cls,2166,41.476118997660514,0.749231837165732
scibert,18,2005,0.7453123256657415,0.7417769032346337,scibert/mean,scibert/sep,2166,41.64489410122404,0.747277641691329
scibert,18,2005,0.8902322102494704,0.8889451770754426,scibert/cls,scibert/sep,2166,24.270659265353732,0.911613890509282
scibert,18,2010,0.7668177679150551,0.7643038681877995,scibert/mean,scibert/cls,2166,41.59665765137959,0.747836819353907
scibert,18,2010,0.7474476864533973,0.7440409874768886,scibert/mean,scibert/sep,2166,41.686849362318135,0.7467908475699075
scibert,18,2010,0.8777405125381524,0.8764521677206446,scibert/cls,scibert/sep,2166,24.687199383198585,0.9086015117513419
scibert,18,2015,0.7292043523235177,0.7257506240948134,scibert/mean,scibert/cls,2166,41.8793389466697,0.744552320527899
scibert,18,2015,0.7190861211175346,0.7150557910242646,scibert/mean,scibert/sep,2166,42.045618051126745,0.7426118381106097
scibert,18,2015,0.85509933642518,0.8532930710085617,scibert/cls,scibert/sep,2166,25.13410412825369,0.9053161426687457
scibert,18,2020,0.7194201944777536,0.7159377494960503,scibert/mean,scibert/cls,2166,41.99674685449428,0.7431828162440783
scibert,18,2020,0.7198475398050074,0.7159737345303178,scibert/mean,scibert/sep,2166,42.044782997562464,0.7426215988520061
scibert,18,2020,0.8491612142953123,0.8474145091783502,scibert/cls,scibert/sep,2166,25.33933542370198,0.9037889414954089
scibert,19,2000,0.7517720056656456,0.7488835156470632,scibert/mean,scibert/cls,2166,39.82832475004877,0.767966984999385
scibert,19,2000,0.6936797732091482,0.6896205123001384,scibert/mean,scibert/sep,2166,40.895349275518385,0.7559066122871873
scibert,19,2000,0.8371370793770898,0.8350579657217996,scibert/cls,scibert/sep,2166,25.481310950376947,0.9027256627870497
scibert,19,2005,0.7842209253777697,0.7821016079372839,scibert/mean,scibert/cls,2166,39.57569344416218,0.7707835874481336
scibert,19,2005,0.746985636530456,0.7441214355314529,scibert/mean,scibert/sep,2166,40.32552542131953,0.7623801074633144
scibert,19,2005,0.8678007968287254,0.8663841401999126,scibert/cls,scibert/sep,2166,24.973768558761495,0.9065011772600703
scibert,19,2010,0.7898921306716874,0.787916672488113,scibert/mean,scibert/cls,2166,39.41561231898242,0.7725605893986691
scibert,19,2010,0.7567719640661561,0.7539756837104863,scibert/mean,scibert/sep,2166,40.06966551344085,0.7652623163654584
scibert,19,2010,0.8699097519121599,0.868720175089689,scibert/cls,scibert/sep,2166,25.36405694449603,0.9036041966855584
scibert,19,2015,0.7093548686949959,0.7059808503678456,scibert/mean,scibert/cls,2166,40.71939066591518,0.757913602493536
scibert,19,2015,0.6710582327611863,0.6667628114071446,scibert/mean,scibert/sep,2166,41.50727526554434,0.7488715770217975
scibert,19,2015,0.8194937053816805,0.8172176888785299,scibert/cls,scibert/sep,2166,25.962448741972132,0.8990811586653964
scibert,19,2020,0.7238061010647416,0.7208431140915612,scibert/mean,scibert/cls,2166,40.406699624445075,0.7614625173432803
scibert,19,2020,0.7180047620070374,0.7141769078062428,scibert/mean,scibert/sep,2166,40.21773527764584,0.7635961977266187
scibert,19,2020,0.8288605610083523,0.8270371282771237,scibert/cls,scibert/sep,2166,26.28839505409345,0.8965761536336867
scibert,20,2000,0.7823617838878539,0.7802881188947596,scibert/mean,scibert/cls,2166,39.98826965490436,0.7661760269918867
scibert,20,2000,0.7356993037685661,0.7327621144591304,scibert/mean,scibert/sep,2166,40.65041298667957,0.7586984150993257
scibert,20,2000,0.9104090847469479,0.9094765821234757,scibert/cls,scibert/sep,2166,23.786038334003997,0.9150579754079865
scibert,20,2005,0.7993360619978249,0.7977283920721303,scibert/mean,scibert/cls,2166,39.74581648548973,0.7688885193676521
scibert,20,2005,0.7671781353273738,0.7649758151651777,scibert/mean,scibert/sep,2166,40.35218811536687,0.7620788820563468
scibert,20,2005,0.9216099526254922,0.9208612285093718,scibert/cls,scibert/sep,2166,23.307720743384273,0.9183930723016639
scibert,20,2010,0.7625992667953431,0.7603733373739036,scibert/mean,scibert/cls,2166,40.40239750907147,0.7615111866640543
scibert,20,2010,0.7294939341025847,0.7264393179976344,scibert/mean,scibert/sep,2166,41.01886963573908,0.7544934746065561
scibert,20,2010,0.8878777614349892,0.8867143303796604,scibert/cls,scibert/sep,2166,24.29858624454545,0.911413430346195
scibert,20,2015,0.7055450730251043,0.7024398994184756,scibert/mean,scibert/cls,2166,41.448716858424774,0.7495485051862267
scibert,20,2015,0.6825932323274854,0.678347268885226,scibert/mean,scibert/sep,2166,42.127699384314205,0.7416516395779019
scibert,20,2015,0.8432812768403483,0.8414120068007536,scibert/cls,scibert/sep,2166,25.58335779818694,0.9019579925127675
scibert,20,2020,0.7080540104461791,0.7058783323113156,scibert/mean,scibert/cls,2845,42.19167510089242,0.7409021873856143
scibert,20,2020,0.6826329492390456,0.6795497328044562,scibert/mean,scibert/sep,2845,42.77955068036062,0.7339723157734115
scibert,20,2020,0.824676635947677,0.8232023286475323,scibert/cls,scibert/sep,2845,26.555056035505444,0.8945051929651353
scibert,21,2000,0.837280719315037,0.8357289625607021,scibert/mean,scibert/cls,2166,39.109668333758385,0.7759399730975358
scibert,21,2000,0.8114175837997223,0.809462669719745,scibert/mean,scibert/sep,2166,39.355525075743095,0.7732260399649601
scibert,21,2000,0.9172048608508611,0.91640486067885,scibert/cls,scibert/sep,2166,23.124186784139503,0.919655794564537
scibert,21,2005,0.8652471325015169,0.8641676368817051,scibert/mean,scibert/cls,2166,38.36000819049613,0.7841268205500228
scibert,21,2005,0.8601373127872982,0.8590529414366505,scibert/mean,scibert/sep,2166,38.21049168127149,0.7857436405295007
scibert,21,2005,0.9378184469874064,0.9373253580646052,scibert/cls,scibert/sep,2166,22.18025600990768,0.9260007328763861
