field_id,period_start,model_a,model_b,k,queries,mean_overlap
11,2015,minilm,biobert,25,100,0.1116
11,2015,minilm,biobert,50,100,0.1276
11,2015,minilm,simcse,10,100,0.10300000000000001
11,2015,minilm,simcse,25,100,0.1108
11,2015,minilm,simcse,50,100,0.12480000000000001
11,2015,pubmedbert,biobert,10,100,0.365
11,2015,pubmedbert,biobert,25,100,0.4044
11,2015,pubmedbert,biobert,50,100,0.42719999999999997
11,2015,pubmedbert,simcse,10,100,0.10300000000000001
11,2015,pubmedbert,simcse,25,100,0.1276
11,2015,pubmedbert,simcse,50,100,0.1416
11,2015,biobert,simcse,10,100,0.11399999999999999
11,2015,biobert,simcse,25,100,0.1364
11,2015,biobert,simcse,50,100,0.1534
11,2020,specter,specter2,10,100,0.22999999999999998
11,2020,specter,specter2,25,100,0.2632
11,2020,specter,specter2,50,100,0.2802
11,2020,specter,scincl,10,100,0.33199999999999996
11,2020,specter,scincl,25,100,0.35719999999999996
11,2020,specter,scincl,50,100,0.3766
11,2020,specter,scibert,10,100,0.132
11,2020,specter,scibert,25,100,0.1548
11,2020,specter,scibert,50,100,0.1754
11,2020,specter,bert,10,100,0.10900000000000001
11,2020,specter,bert,25,100,0.1164
11,2020,specter,bert,50,100,0.1392
11,2020,specter,mpnet,10,100,0.265
11,2020,specter,mpnet,25,100,0.29359999999999997
11,2020,specter,mpnet,50,100,0.3234
11,2020,specter,minilm,10,100,0.23199999999999998
11,2020,specter,minilm,25,100,0.25239999999999996
11,2020,specter,minilm,50,100,0.2732
11,2020,specter,pubmedbert,10,100,0.12
11,2020,specter,pubmedbert,25,100,0.1376
11,2020,specter,pubmedbert,50,100,0.1578
11,2020,specter,biobert,10,100,0.125
11,2020,specter,biobert,25,100,0.14679999999999999
11,2020,specter,biobert,50,100,0.168
11,2020,specter,simcse,10,100,0.097
11,2020,specter,simcse,25,100,0.0984
11,2020,specter,simcse,50,100,0.1162
11,2020,specter2,scincl,10,100,0.29700000000000004
