field_id,model_a,model_b,delta_common_native_n2000,median_delta_n1000,absolute_median_error,central95_width_delta_n1000,min_delta_n1000,max_delta_n1000
18,scibert,pubmedbert,-0.00376065733591191,-0.005419502303608714,0.0016588449676968042,0.009250320715046889,-0.008872362061455585,0.0009062227819858215
18,scibert,biobert,-0.003593925796972819,-0.0037453940184748458,0.00015146822150202688,0.0036089634398982972,-0.005577129899282496,-0.001319536802487975
18,scibert,simcse,0.008987032919881566,0.009017257151273605,3.022423139203978e-05,0.004502023837205861,0.006229387797996866,0.011916693592333383
18,bert,mpnet,0.0009558769849995485,0.0013435687080206038,0.00038769172302105526,0.00392930522011878,-0.001737696049360471,0.002891841628577807
18,bert,minilm,0.004478942951952725,0.004926827512084453,0.0004478845601317283,0.003287699843805289,0.0025614900588163403,0.006386971351839854
18,bert,pubmedbert,0.006125982380670081,0.006302972790790895,0.00017699041012081418,0.006109726307456109,0.001318406471095046,0.007975448440696975
18,bert,biobert,-0.0011219688186426824,-0.0014872355377166802,0.00036526671907399777,0.0033588530942773227,-0.0035359992199118784,0.00010828699200837733
18,bert,simcse,0.0023309134314172253,0.0028462845459921726,0.0005153711145749473,0.002387263553565236,0.0013101304485710896,0.003970410920407841
18,mpnet,minilm,0.0024675488633898457,0.0026755785625465767,0.00020802969915673097,0.000817171250583859,0.0019955693206691327,0.003015830110563056
18,mpnet,pubmedbert,0.005460183051574141,0.004150267344800562,0.001309915706773579,0.00897260383833991,-0.00018998829380639792,0.00936019765594892
18,mpnet,biobert,0.003347086934650245,0.0039889902180472725,0.0006419032833970273,0.01051434499796701,-0.005305890521164369,0.007761358117974959
18,mpnet,simcse,-0.002103326739586908,-0.0026140388038738416,0.0005107120642869334,0.004128703837222513,-0.004037099972567071,0.000578591414748586
18,minilm,pubmedbert,0.007378905703923133,0.0059273370853846485,0.0014515686185384846,0.007400181838133097,0.002505781891491199,0.010021891982604891
18,minilm,biobert,0.0048001067325238456,0.004938989515072295,0.00013888278254844955,0.008470312681607398,-0.001965296860527155,0.00831207445754445
18,minilm,simcse,0.000873775264360166,0.0007858869112418732,8.78883531182928e-05,0.002692650468474042,-0.000499609487294217,0.002238642788077394
18,pubmedbert,biobert,0.0006567124288980875,0.001447255262950753,0.0007905428340526655,0.007001291767702537,-0.00313732910456499,0.004879509320404707
18,pubmedbert,simcse,0.005242217809434457,0.004573404099695533,0.0006688137097389246,0.006064573122348479,0.001918742846949928,0.008717214044594024
18,biobert,simcse,0.0009054016166406553,0.001366591586866639,0.0004611899702259836,0.006689881985359022,-0.0035939493085063168,0.0040758022580345
19,specter,specter2,-0.0028962066380624485,-0.002532395752657235,0.00036381088540521356,0.0020303157327212383,-0.003962653520657278,-0.0017946211003866397
19,specter,scincl,-0.001945489791215449,-0.0016526068446182651,0.00029288294659718384,0.002733859655831469,-0.003953887515647292,-0.0006603988549880313
19,specter,scibert,0.035662403246208174,0.03587704943647102,0.00021464619026284604,0.013391774941506163,0.027410072437679345,0.044056315921063405
19,specter,bert,0.00936827578606092,0.009438301946375738,7.002616031481779e-05,0.006826943252222412,0.006137180247229979,0.01327784072999083
19,specter,mpnet,-0.004864574008812239,-0.004647710547423578,0.00021686346138866108,0.002712670007811096,-0.006506852095290672,-0.003369889787459668
19,specter,minilm,0.001987648559918509,0.0020204895457250904,3.284098580658146e-05,0.00270646296733813,5.571742243581923e-06,0.003324664330743854
19,specter,pubmedbert,0.013841315976486523,0.014510371326721783,0.0006690553502352592,0.0077354463607525945,0.010280996231355699,0.018648724646789683
19,specter,biobert,0.023570084101932398,0.024284366074866504,0.0007142819729341054,0.02603393241943148,0.007795664752099807,0.03798678202159789
19,specter,simcse,-0.0020654341082874117,-0.0028994695583584584,0.0008340354500710467,0.00603372727368365,-0.006246931818590262,0.0008818873186771103
19,specter2,scincl,-0.002465469834177836,-0.002446003942771391,1.9465891406444946e-05,0.002225516990693002,-0.004165440344579552,-0.001355828730209785
19,specter2,scibert,0.036201559240732206,0.03718502271125884,0.0009834634705266354,0.012219927279147034,0.0300379493766445,0.04450898251991675
19,specter2,bert,0.007501178399627828,0.007729640300464247,0.0002284619008364186,0.006776230841129482,0.004226041082608489,0.012511928934679672
19,specter2,mpnet,-0.005347295286916798,-0.005238421023020523,0.00010887426389627475,0.0019491744028541664,-0.0062933792712632775,-0.004092742721872433
19,specter2,minilm,0.0003159396396507086,0.00011194233224992578,0.0002039973074007828,0.0018181168054204806,-0.0005553966928651954,0.001337950314062919
19,specter2,pubmedbert,0.010406503134492207,0.011294217253275507,0.0008877141187833004,0.007178235242718878,0.006939367505379823,0.015303787211688569
19,specter2,biobert,0.02172505435237526,0.023719100238063395,0.001994045885688134,0.021890224251072184,0.008525536831364922,0.03436897773756753
19,specter2,simcse,-0.0019233587911779981,-0.00152704461025166,0.0003963141809263382,0.005707015764583432,-0.005509754916206644,0.0005911689276124621
19,scincl,scibert,0.033130199960456186,0.034263168284063394,0.0011329683236072086,0.014012692054353952,0.02582391195835887,0.042702036644037045
19,scincl,bert,0.007383281963043498,0.007582798725975282,0.000199516762931784,0.00732902369543199,0.004033675539599879,0.012191776030109902
19,scincl,mpnet,-0.006842978468246774,-0.00696607542255101,0.00012309695430423595,0.0024860196808595856,-0.00837687858276237,-0.005588747673304084
19,scincl,minilm,0.0019496553635495184,0.0019802600935945325,3.060473004501407e-05,0.0015717836803055964,0.001098676776768115,0.0028567179530728515
19,scincl,pubmedbert,0.009800560791801471,0.010467769643117408,0.0006672088513159369,0.007478997970370424,0.006426495739486615,0.014365474320510496
19,scincl,biobert,0.019531289543736063,0.021064248742683978,0.001532959198947914,0.02313419529051091,0.006398951655503415,0.03257227458490297
19,scincl,simcse,-0.0028416988873973814,-0.002520948006720647,0.0003207508806767345,0.0066448215541264595,-0.0069060329075826266,0.0001646044695534643
19,scibert,bert,0.009406504586623399,0.009649979053913127,0.00024347446728972821,0.006841240281921587,0.005793654942855886,0.012792355708200032
19,scibert,mpnet,0.030793476443839896,0.03128281665831645,0.0004893402144765524,0.012333435124741714,0.02430339501969614,0.03956959545591654
19,scibert,minilm,0.04047184486253619,0.04158385979561946,0.0011120149330832718,0.012241200388331049,0.03435615670828862,0.04845061188201372
19,scibert,pubmedbert,0.013871897872950512,0.014218025283816271,0.0003461274108657597,0.006011768015171507,0.009854484929657237,0.016668309980537033
19,scibert,biobert,0.0061401968688969966,0.005817616686036697,0.0003225801828602992,0.009447034928139371,0.0010956236492486449,0.012503960041071793
19,scibert,simcse,0.011888107952623184,0.011801498980964498,8.660897165868597e-05,0.008357442643680216,0.007208936324958448,0.01680101268051737
19,bert,mpnet,0.008766611633975296,0.008847445022253042,8.083338827774567e-05,0.006090366871257482,0.006235561252035615,0.012839460271212189
