work_id,original_cohort,field_id,period_start,reason,text_sha256
W2606926286,base,17,2015,clear_non_english_abstract,4d3141025da88c4669f356fb5b5a45bc81afd7b9f4531bbf6e9103f451121dcc
W2988234219,base,23,2015,clear_non_english_abstract,8e76f6f7b4d5adbb63bedc1356df097067cd09c2ba20f30ca8d34e98203f37b9
W4400474198,base,17,2020,clear_non_english_abstract,4f7e639568988aaad7a650bb6b5350bbeee9202325ff6d27d4554aa1ff7cf37b
W4312367799,base,11,2020,clear_non_english_abstract,ce7d297e3fbca63cd377a0dfd6e93973eab2546e49d3ac2b59fbea42e9da8f1d
W7117196197,base,12,2020,clear_non_english_abstract,a608b2045a613dc7b92a206481c843c210a9a00c643167b44ba2bdc17495dda0
W3009485237,base,24,2015,clear_non_english_abstract,b5d2ed5817f9e72861d6fbf7c5eeec7bfec822f873de27d246d591851538615f
W2186021148,base,22,2005,non_abstract:reviewed_non_abstract_template,5b4efe5b25da66d995416ab87e4280f1892a446a5a8408ec706db9209f10e09c
W4247860809,base,33,2015,non_abstract:reviewed_non_abstract_template,c90d24f2cad96b6b617f51a25db1aa7162293cbcfa8cc4992184d0cc8988baba
W4246593913,base,11,2005,clear_non_english_abstract,ce70f6f8d9a1057c8ef657d7ac1e77c67525186e85b1a18fd6920102ad03fb4b
W2075440148,base,36,2000,clear_non_english_abstract,e806adf663660195aa8bb78f15ab47bee286b4eb35644e6f99f8c833e02c7572
W2064818953,base,36,2000,clear_non_english_abstract,5f892a668228d3d18554ef80150f90f9d82afbf253dae28a9298c7cced62cc93
W2334442438,base,14,2010,clear_non_english_abstract,31b07b2a4bd8a1b5184a58cc442f0d510aaf2ae13993256976015b88d64c3f90
W4242340267,base,25,2010,clear_non_english_abstract,3d0376711a0cb3766da5e47089dad5c5a281dd456f4df8b692baeb82a31140aa
W4404936813,base,33,2020,clear_non_english_abstract,a48bc7537865738e700da9c9cc7191aad7459815375aa304bb4b2ca4fc5ef8ec
W3026315642,base,17,2020,clear_non_english_abstract,e6d8c5bff3f0dcad6c6432c2171489e2ad980f901df7e02efcb8ab8920cb3111
W2973177867,base,20,2015,clear_non_english_abstract,49d9e5718b41f1b57fb2d8586bb223a91fbbe0123fef37d83f39f0d79748f55d
W4247842695,base,16,2005,clear_non_english_abstract,b52adf0061807eb0b3b88d729e6d4f528012615cb0421ac48cacefb1c0c6b545
W4394795106,base,33,2020,clear_non_english_abstract,7625d2040abe91253520c788eb61d0c82d273d7d84ef90f8481845c1628ada83
W7212097658,base,12,2015,clear_non_english_abstract,8df7c61cfbbaacdf0478aa7a05175560107ff88d59ea67b25156e34d1dd9dc2e
