work_id,selection_order,cohort,field_id,period_start,title_language,title_score,abstract_language,abstract_score,text_sha256
W3202807201,299577,base,33,2015,en,0.7791804075241089,id,0.29129210114479065,bdcbe35c7da7cc9923a8116f974b6b18fa053c2c87c4060b13c16789d58ffb48
W3123935278,299619,base,17,2020,en,0.6082353591918945,en,0.735633373260498,a12af1fbc174f2eaefc193ba19f7feaf06eccb27c1d053ab68b853595eb65c78
W2344003830,299640,base,29,2015,es,0.7340675592422485,es,0.9831700325012207,419a10e2ee9924e82875d67d1ff0d0ca14e9309a2b8fd3ef006cf4afa8635903
W2917565366,299655,base,20,2015,en,0.6501390337944031,ko,1.000069260597229,cdfd2ebd1ab9b647d880aba168c26fbd055faa16b33b5cb481a236bee6a755b7
W2212806653,299673,base,31,2010,en,0.8646684885025024,en,0.7949624061584473,41dd9a370bf021f6b30ba8c405c89bb46bbfc81c016125d622fbcbaebd9222b1
W2034846431,299682,base,27,2005,en,0.858795702457428,de,0.994846522808075,9bb92d2228100240bf53e501f6ab4967a984b62a478ba7d522e7bd257b52825a
W4248817641,299778,base,12,2015,en,0.8731355667114258,en,0.7485830783843994,8e46511376cae37305d317967f5462a650de66dbd7803dc36e51fe934ed9888f
W2992147557,299807,base,27,2015,en,0.7564098238945007,ru,0.9923477172851562,86af1c70acb2b81a907b8b9ee5cd9baa5245eddba66e338fd20527c0335d7c10
W2147261111,299828,base,11,2010,en,0.8534668684005737,en,0.7241308689117432,2328abd80bddec9fcf6fc32a78a6d367dfad8818a88650278c26697f4bb13e2b
W3112707516,299843,base,33,2020,en,0.31248873472213745,id,0.4277118742465973,df0cdbbbbe7156a3150c50e095d184a5211a30a23a64d958333a572cf59a276d
W4396224682,299844,base,27,2020,en,0.6833443641662598,en,0.6780102849006653,1df62ba823f428a2d5ecc0f8f85ac19d99b3938fd5ebdf53b7b42e4b0b1f4d12
W2015564549,299900,base,25,2010,en,0.6341584324836731,ko,0.9522108435630798,accaec704b4d28aac02de72e4ee87e18f209a3deccc2cb56fa14b3dc6781c1ed
W626609179,299908,base,13,2005,en,0.7632061243057251,en,0.7915277481079102,854b8f7fd63d62c1b46574f4cb04092885bbff31692bde95a65c8f959f8a2c55
W3032749372,299933,base,28,2005,en,0.8081833720207214,zh,0.6180307269096375,3633787d92e29eeff9165d7f9903574e4aedf57e56897eafcd34fd2adeb18861
W2139619735,299966,base,17,2010,en,0.7729836106300354,ko,0.9113678932189941,acfd81917d30ae182ff288705a81dc875b0cd8b396b1330b0727f6462a94fb1f
W3034526207,299968,base,22,2015,en,0.738372266292572,ko,1.0000590085983276,663947cad1297107455547b7e96c548bd68079603c9820b120642a551d1d37a5
W2892427604,299998,base,33,2015,pl,0.9975103139877319,pl,0.9995211362838745,65bb00a99e19e6509f36ea90e465c4023688df342edf1eb5bd82d156d831a83d
W4392717893,300001,base,16,2020,en,0.5185155272483826,en,0.7559331655502319,fe4ac5d964d35515a777e5e4bd839fc659761377c945b46275b101f399f186c1
W2383544269,300018,base,27,2015,en,0.7183278203010559,en,0.7998316884040833,1027136bf894b0b6e80abb3d8eebc32e38684b1fd1aee5bdd2f4065966bb11e6
