field_id,recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
11,cls,neighbors50,scincl,abstract,0.6181533333333333,0.18456000000000006,0.4335933333333333
11,cls,neighbors50,scibert,title,0.7228955555555555,0.80198,-0.07908444444444451
11,cls,neighbors50,scibert,abstract,0.7228955555555555,0.2611199999999999,0.4617755555555556
11,cls,neighbors50,bert,title,0.7410377777777778,0.8486,-0.10756222222222223
11,cls,neighbors50,bert,abstract,0.7410377777777778,0.36122,0.3798177777777778
11,cls,neighbors50,mpnet,title,0.6093244444444446,0.40988,0.19944444444444454
11,cls,neighbors50,mpnet,abstract,0.6093244444444446,0.14501999999999993,0.46430444444444463
11,cls,neighbors50,minilm,title,0.6312622222222223,0.49817999999999996,0.13308222222222232
11,cls,neighbors50,minilm,abstract,0.6312622222222223,0.18513999999999997,0.4461222222222223
11,cls,neighbors50,pubmedbert,title,0.7216266666666667,0.8144,-0.09277333333333326
11,cls,neighbors50,pubmedbert,abstract,0.7216266666666667,0.18376000000000003,0.5378666666666667
11,cls,neighbors50,biobert,title,0.6764933333333333,0.7921199999999999,-0.11562666666666666
11,cls,neighbors50,biobert,abstract,0.6764933333333333,0.19323999999999997,0.4832533333333333
11,cls,neighbors50,simcse,title,0.7012222222222222,0.73914,-0.03791777777777783
11,cls,neighbors50,simcse,abstract,0.7012222222222222,0.20018000000000002,0.5010422222222222
11,sep,cka,specter,title,0.37983126750059487,0.17769024905847264,0.20214101844212223
11,sep,cka,specter,abstract,0.37983126750059487,0.04344819811591161,0.33638306938468326
11,sep,cka,specter2,title,0.4217089713577381,0.1853157870111306,0.2363931843466075
11,sep,cka,specter2,abstract,0.4217089713577381,0.04973152190797636,0.37197744944976174
11,sep,cka,scincl,title,0.38304792044187574,0.1841946457543151,0.19885327468756064
11,sep,cka,scincl,abstract,0.38304792044187574,0.029428812161955253,0.3536191082799205
11,sep,cka,scibert,title,0.5426357694690431,0.6573427065622848,-0.11470693709324165
11,sep,cka,scibert,abstract,0.5426357694690431,0.07640246706447773,0.4662333024045654
11,sep,cka,bert,title,0.8128149992399603,0.905477304438923,-0.09266230519896279
11,sep,cka,bert,abstract,0.8128149992399603,0.1764979038027068,0.6363170954372535
11,sep,cka,mpnet,title,0.385417816075267,0.16745567494660918,0.2179621411286578
11,sep,cka,mpnet,abstract,0.385417816075267,0.026856601509236522,0.35856121456603046
11,sep,cka,minilm,title,0.41024000861642956,0.23523841275744228,0.17500159585898728
11,sep,cka,minilm,abstract,0.41024000861642956,0.037385846502761,0.37285416211366856
11,sep,cka,pubmedbert,title,0.3656927022720045,0.3911484069268807,-0.025455704654876177
11,sep,cka,pubmedbert,abstract,0.3656927022720045,0.01626624208665184,0.34942646018535267
11,sep,cka,biobert,title,0.3935410620937756,0.48172257339743796,-0.08818151130366236
11,sep,cka,biobert,abstract,0.3935410620937756,0.014054157708565662,0.37948690438520993
11,sep,cka,simcse,title,0.4991075470233646,0.5220569941852973,-0.0229494471619327
11,sep,cka,simcse,abstract,0.4991075470233646,0.029342594423902857,0.4697649525994617
11,sep,neighbors10,specter,title,0.6834888888888888,0.5887,0.09478888888888881
11,sep,neighbors10,specter,abstract,0.6834888888888888,0.3325,0.3509888888888888
11,sep,neighbors10,specter2,title,0.7217111111111111,0.6099,0.11181111111111108
11,sep,neighbors10,specter2,abstract,0.7217111111111111,0.32630000000000003,0.39541111111111105
11,sep,neighbors10,scincl,title,0.6822222222222223,0.5679000000000001,0.11432222222222221
11,sep,neighbors10,scincl,abstract,0.6822222222222223,0.2612,0.4210222222222223
11,sep,neighbors10,scibert,title,0.8258222222222221,0.8978,-0.07197777777777792
11,sep,neighbors10,scibert,abstract,0.8258222222222221,0.346,0.47982222222222215
11,sep,neighbors10,bert,title,0.8367111111111111,0.9054,-0.06868888888888891
11,sep,neighbors10,bert,abstract,0.8367111111111111,0.4004,0.4363111111111111
11,sep,neighbors10,mpnet,title,0.6692666666666667,0.5105999999999999,0.15866666666666673
11,sep,neighbors10,mpnet,abstract,0.6692666666666667,0.1976000000000001,0.47166666666666657
11,sep,neighbors10,minilm,title,0.6977888888888889,0.5946,0.10318888888888889
11,sep,neighbors10,minilm,abstract,0.6977888888888889,0.24459999999999993,0.453188888888889
11,sep,neighbors10,pubmedbert,title,0.6874222222222222,0.7624,-0.07497777777777781
11,sep,neighbors10,pubmedbert,abstract,0.6874222222222222,0.17449999999999988,0.5129222222222223
11,sep,neighbors10,biobert,title,0.7057222222222221,0.7746,-0.06887777777777782
11,sep,neighbors10,biobert,abstract,0.7057222222222221,0.1653,0.5404222222222221
11,sep,neighbors10,simcse,title,0.7858222222222222,0.8506,-0.06477777777777782
11,sep,neighbors10,simcse,abstract,0.7858222222222222,0.27390000000000003,0.5119222222222222
11,sep,neighbors25,specter,title,0.6257955555555557,0.5152000000000001,0.11059555555555556
11,sep,neighbors25,specter,abstract,0.6257955555555557,0.27056,0.35523555555555564
11,sep,neighbors25,specter2,title,0.6732488888888889,0.54452,0.1287288888888889
11,sep,neighbors25,specter2,abstract,0.6732488888888889,0.2872,0.3860488888888889
11,sep,neighbors25,scincl,title,0.6287866666666667,0.50392,0.12486666666666668
11,sep,neighbors25,scincl,abstract,0.6287866666666667,0.21736,0.4114266666666667
11,sep,neighbors25,scibert,title,0.7731288888888889,0.86504,-0.09191111111111117
11,sep,neighbors25,scibert,abstract,0.7731288888888889,0.2966,0.4765288888888889
11,sep,neighbors25,bert,title,0.7893688888888888,0.86672,-0.07735111111111126
11,sep,neighbors25,bert,abstract,0.7893688888888888,0.34739999999999993,0.44196888888888886
11,sep,neighbors25,mpnet,title,0.61744,0.46084,0.15659999999999996
11,sep,neighbors25,mpnet,abstract,0.61744,0.16571999999999998,0.45172
11,sep,neighbors25,minilm,title,0.6458355555555556,0.5436,0.10223555555555564
11,sep,neighbors25,minilm,abstract,0.6458355555555556,0.21336,0.4324755555555556
11,sep,neighbors25,pubmedbert,title,0.63184,0.69628,-0.06444000000000005
11,sep,neighbors25,pubmedbert,abstract,0.63184,0.1507599999999999,0.48108000000000006
11,sep,neighbors25,biobert,title,0.6417333333333333,0.72212,-0.08038666666666672
