recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
sep,cka,specter,title,0.39329238868039135,0.2075151304597385,0.18577725822065277
sep,cka,specter,abstract,0.39329238868039135,0.044662853527773855,0.3486295351526174
sep,cka,specter2,title,0.4050519973315605,0.20327087271038424,0.20178112462117628
sep,cka,specter2,abstract,0.4050519973315605,0.04812202109681871,0.35692997623474176
sep,cka,scincl,title,0.38981062122526183,0.2053150277594626,0.18449559346579913
sep,cka,scincl,abstract,0.38981062122526183,0.028361903686807573,0.36144871753845415
sep,cka,scibert,title,0.5419443476436654,0.6336102274127917,-0.0916658797691263
sep,cka,scibert,abstract,0.5419443476436654,0.05466459176298291,0.48727975588068245
sep,cka,bert,title,0.8125741643981944,0.8680702630997372,-0.05549609870154296
sep,cka,bert,abstract,0.8125741643981944,0.21458751353606506,0.5979866508621293
sep,cka,mpnet,title,0.3874739059586928,0.18997345089228262,0.19750045506641023
sep,cka,mpnet,abstract,0.3874739059586928,0.022072497312031505,0.36540140864666143
sep,cka,minilm,title,0.40633763173771054,0.24735312934099923,0.1589845023967112
sep,cka,minilm,abstract,0.40633763173771054,0.03079865749905205,0.3755389742386584
sep,cka,pubmedbert,title,0.3772984094891724,0.4480901793648612,-0.07079176987568875
sep,cka,pubmedbert,abstract,0.3772984094891724,0.021090644806557035,0.3562077646826154
sep,cka,biobert,title,0.3981020693940988,0.46269643932822047,-0.06459436993412174
sep,cka,biobert,abstract,0.3981020693940988,0.014210053459823405,0.38389201593427535
sep,cka,simcse,title,0.4766389147689539,0.49406914218312364,-0.017430227414169795
sep,cka,simcse,abstract,0.4766389147689539,0.027792771108903498,0.4488461436600503
sep,cka,mean_of_ten_fixed_models,title,0.4588524450627702,0.3959963862551602,0.06285605880761
sep,cka,mean_of_ten_fixed_models,abstract,0.4588524450627702,0.05063635077968155,0.4082160942830885
sep,neighbors10,specter,title,0.7063517094017093,0.6296923076923077,0.07665940170940169
sep,neighbors10,specter,abstract,0.7063517094017093,0.3333692307692307,0.3729824786324786
sep,neighbors10,specter2,title,0.7263538461538462,0.6262461538461538,0.10010769230769231
sep,neighbors10,specter2,abstract,0.7263538461538462,0.3303038461538462,0.39605000000000007
sep,neighbors10,scincl,title,0.6960824786324786,0.5904230769230769,0.10565940170940169
sep,neighbors10,scincl,abstract,0.6960824786324786,0.2546346153846154,0.4414478632478632
sep,neighbors10,scibert,title,0.8449636752136752,0.9133615384615384,-0.06839786324786326
sep,neighbors10,scibert,abstract,0.8449636752136752,0.3336846153846154,0.5112790598290599
sep,neighbors10,bert,title,0.8518094017094018,0.9205653846153846,-0.06875598290598292
sep,neighbors10,bert,abstract,0.8518094017094018,0.4306769230769231,0.4211324786324786
sep,neighbors10,mpnet,title,0.6792756410256409,0.5355115384615384,0.14376410256410257
sep,neighbors10,mpnet,abstract,0.6792756410256409,0.19071153846153846,0.48856410256410243
sep,neighbors10,minilm,title,0.6945735042735042,0.5988730769230769,0.09570042735042737
sep,neighbors10,minilm,abstract,0.6945735042735042,0.22821538461538463,0.4663581196581197
sep,neighbors10,pubmedbert,title,0.7110307692307694,0.8039115384615384,-0.09288076923076921
sep,neighbors10,pubmedbert,abstract,0.7110307692307694,0.19616153846153847,0.5148692307692309
sep,neighbors10,biobert,title,0.7347769230769232,0.8103153846153847,-0.07553846153846154
sep,neighbors10,biobert,abstract,0.7347769230769232,0.1817923076923077,0.5529846153846154
sep,neighbors10,simcse,title,0.7901111111111112,0.8524807692307692,-0.06236965811965812
sep,neighbors10,simcse,abstract,0.7901111111111112,0.27963461538461537,0.5104764957264957
sep,neighbors10,mean_of_ten_fixed_models,title,0.743532905982906,0.728138076923077,0.015394829059829062
sep,neighbors10,mean_of_ten_fixed_models,abstract,0.743532905982906,0.27591846153846156,0.46761444444444444
sep,neighbors25,specter,title,0.6539299145299146,0.5645138461538461,0.08941606837606837
sep,neighbors25,specter,abstract,0.6539299145299146,0.28036307692307694,0.3735668376068376
sep,neighbors25,specter2,title,0.6780063247863247,0.5660507692307692,0.11195555555555559
sep,neighbors25,specter2,abstract,0.6780063247863247,0.28583230769230766,0.39217401709401706
sep,neighbors25,scincl,title,0.6471800000000001,0.5326584615384615,0.11452153846153847
sep,neighbors25,scincl,abstract,0.6471800000000001,0.21454307692307692,0.43263692307692314
sep,neighbors25,scibert,title,0.7906758974358975,0.8678969230769231,-0.07722102564102565
sep,neighbors25,scibert,abstract,0.7906758974358975,0.28153538461538463,0.5091405128205129
sep,neighbors25,bert,title,0.8067323076923076,0.8815369230769229,-0.07480461538461539
sep,neighbors25,bert,abstract,0.8067323076923076,0.3798984615384616,0.4268338461538462
sep,neighbors25,mpnet,title,0.6288010256410257,0.4826092307692307,0.1461917948717949
sep,neighbors25,mpnet,abstract,0.6288010256410257,0.15964461538461538,0.4691564102564103
sep,neighbors25,minilm,title,0.644648547008547,0.5461184615384616,0.09853008547008546
sep,neighbors25,minilm,abstract,0.644648547008547,0.19506307692307695,0.44958547008547006
sep,neighbors25,pubmedbert,title,0.6556013675213674,0.7457338461538462,-0.09013247863247864
sep,neighbors25,pubmedbert,abstract,0.6556013675213674,0.1656723076923077,0.48992905982905977
sep,neighbors25,biobert,title,0.6749111111111111,0.7485,-0.0735888888888889
sep,neighbors25,biobert,abstract,0.6749111111111111,0.14769384615384615,0.5272172649572651
sep,neighbors25,simcse,title,0.736262905982906,0.7951353846153846,-0.058872478632478624
sep,neighbors25,simcse,abstract,0.736262905982906,0.23319846153846158,0.5030644444444445
sep,neighbors25,mean_of_ten_fixed_models,title,0.6916749401709401,0.6730753846153845,0.01859955555555556
sep,neighbors25,mean_of_ten_fixed_models,abstract,0.6916749401709401,0.23434446153846153,0.45733047863247867
sep,neighbors50,specter,title,0.6065877777777777,0.5072107692307692,0.09937700854700855
sep,neighbors50,specter,abstract,0.6065877777777777,0.24045307692307688,0.3661347008547009
sep,neighbors50,specter2,title,0.6326005982905983,0.5131392307692308,0.11946136752136752
sep,neighbors50,specter2,abstract,0.6326005982905983,0.2509246153846154,0.3816759829059829
sep,neighbors50,scincl,title,0.6028501709401709,0.4813930769230769,0.12145709401709404
sep,neighbors50,scincl,abstract,0.6028501709401709,0.18527384615384615,0.41757632478632484
sep,neighbors50,scibert,title,0.7365686324786326,0.8163284615384614,-0.07975982905982906
sep,neighbors50,scibert,abstract,0.7365686324786326,0.24485538461538464,0.4917132478632479
sep,neighbors50,bert,title,0.7611033333333334,0.8358899999999999,-0.07478666666666668
sep,neighbors50,bert,abstract,0.7611033333333334,0.3357438461538462,0.4253594871794872
sep,neighbors50,mpnet,title,0.5828412820512819,0.43723000000000006,0.14561128205128204
sep,neighbors50,mpnet,abstract,0.5828412820512819,0.13869615384615386,0.4441451282051283
sep,neighbors50,minilm,title,0.598482735042735,0.49898846153846155,0.09949427350427352
sep,neighbors50,minilm,abstract,0.598482735042735,0.1714653846153846,0.4270173504273504
sep,neighbors50,pubmedbert,title,0.6060660683760684,0.6891969230769232,-0.0831308547008547
sep,neighbors50,pubmedbert,abstract,0.6060660683760684,0.14397307692307693,0.4620929914529915
sep,neighbors50,biobert,title,0.6204078632478632,0.6879484615384615,-0.0675405982905983
sep,neighbors50,biobert,abstract,0.6204078632478632,0.1251223076923077,0.49528555555555553
sep,neighbors50,simcse,title,0.6843664102564103,0.7351261538461539,-0.05075974358974357
sep,neighbors50,simcse,abstract,0.6843664102564103,0.19916615384615383,0.48520025641025644
sep,neighbors50,mean_of_ten_fixed_models,title,0.6431874871794871,0.6202451538461538,0.022942333333333335
sep,neighbors50,mean_of_ten_fixed_models,abstract,0.6431874871794871,0.20356738461538462,0.43962010256410256
