outcome,period_start,comparisons,mean,median,min,max,q05,q95
neighbors_2048_sep_k10,2010,1170,0.234676023303953,0.20466308593750002,0.063037109375,0.5892578125,0.084755859375,0.46300537109374995
neighbors_2048_sep_k10,2015,1170,0.23432208199786322,0.204638671875,0.0615234375,0.58515625,0.08423095703125001,0.46032958984375
neighbors_2048_sep_k10,2020,1170,0.2384129607371795,0.207275390625,0.06474609375,0.5833496093749999,0.09162353515624999,0.46336669921875
neighbors_2048_sep_k25,2000,1170,0.2700051749465812,0.24421875000000004,0.07550781250000001,0.6222460937500001,0.11246972656250001,0.5000498046875
neighbors_2048_sep_k25,2005,1170,0.2737505842681624,0.25100585937500003,0.07619140625000001,0.62126953125,0.11413183593750001,0.5059941406249999
neighbors_2048_sep_k25,2010,1170,0.2761341646634616,0.2500390625000001,0.08326171875000002,0.6190429687500001,0.11351367187500001,0.507361328125
neighbors_2048_sep_k25,2015,1170,0.2775050413995727,0.2517480468750001,0.08232421875000001,0.61958984375,0.11555859375000001,0.5069394531250001
neighbors_2048_sep_k25,2020,1170,0.28383740651709405,0.25725585937500006,0.0915234375,0.61349609375,0.1251650390625,0.5143691406249998
neighbors_2048_sep_k50,2000,1170,0.3070133213141026,0.28458984374999996,0.09784179687500001,0.65498046875,0.14126171875000001,0.53444921875
neighbors_2048_sep_k50,2005,1170,0.31135945012019234,0.292705078125,0.09822265625000001,0.6587109375,0.14292529296875,0.53845703125
neighbors_2048_sep_k50,2010,1170,0.3141519681490385,0.2923583984375,0.105771484375,0.6499707031249999,0.14362744140625,0.54224072265625
neighbors_2048_sep_k50,2015,1170,0.31714044137286324,0.296640625,0.10730468750000001,0.6412695312500001,0.14729345703125005,0.542494140625
neighbors_2048_sep_k50,2020,1170,0.32482074652777776,0.3037158203125,0.12071289062500001,0.64919921875,0.15786621093750003,0.54815283203125
