field_id,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
14,cka,minilm,abstract,0.408665817848857,0.02923258916646465,0.3794332286823924
14,cka,pubmedbert,title,0.45900685614665193,0.682044351686113,-0.22303749553946106
14,cka,pubmedbert,abstract,0.45900685614665193,0.02487497463138333,0.4341318815152686
14,cka,biobert,title,0.4350213285082808,0.7346358663311725,-0.2996145378228917
14,cka,biobert,abstract,0.4350213285082808,0.03463242111995901,0.4003889073883218
14,cka,simcse,title,0.44354795686690957,0.5585086689009693,-0.11496071203405972
14,cka,simcse,abstract,0.44354795686690957,0.030888495595009502,0.41265946127190006
14,rsa,specter,title,0.49282464498506073,0.3056042732615061,0.18722037172355466
14,rsa,specter,abstract,0.49282464498506073,0.06015101922337407,0.43267362576168666
14,rsa,specter2,title,0.49226470734382843,0.2932045820665138,0.19906012527731465
14,rsa,specter2,abstract,0.49226470734382843,0.0725765423354473,0.41968816500838113
14,rsa,scincl,title,0.49820151137050306,0.2939171789547933,0.20428433241570976
14,rsa,scincl,abstract,0.49820151137050306,0.038553860884884994,0.45964765048561806
14,rsa,scibert,title,0.44155063206121,0.6817082402492693,-0.24015760818805937
14,rsa,scibert,abstract,0.44155063206121,0.012800934843501977,0.428749697217708
14,rsa,bert,title,0.4179445646225278,0.5218110791455296,-0.10386651452300177
14,rsa,bert,abstract,0.4179445646225278,0.013941235042855382,0.40400332957967244
14,rsa,mpnet,title,0.4126665862619991,0.2218008688810008,0.19086571738099828
14,rsa,mpnet,abstract,0.4126665862619991,0.023545895595369126,0.38912069066662996
14,rsa,minilm,title,0.41985516695597064,0.27769075219322437,0.14216441476274627
14,rsa,minilm,abstract,0.41985516695597064,0.027414500348536763,0.3924406666074339
14,rsa,pubmedbert,title,0.45852293504280706,0.6218190712565462,-0.16329613621373917
14,rsa,pubmedbert,abstract,0.45852293504280706,0.018329869848827895,0.44019306519397916
14,rsa,biobert,title,0.44375039112387604,0.7018803454137008,-0.25812995428982477
14,rsa,biobert,abstract,0.44375039112387604,0.029696104242738164,0.4140542868811379
14,rsa,simcse,title,0.4685639419559096,0.499600280681498,-0.031036338725588364
14,rsa,simcse,abstract,0.4685639419559096,0.02270190103325087,0.44586204092265874
14,neighbors25,specter,title,0.6904711111111111,0.6166400000000001,0.07383111111111107
14,neighbors25,specter,abstract,0.6904711111111111,0.29584,0.39463111111111115
14,neighbors25,specter2,title,0.6856488888888889,0.5724400000000001,0.1132088888888888
14,neighbors25,specter2,abstract,0.6856488888888889,0.32052,0.36512888888888884
14,neighbors25,scincl,title,0.6766311111111111,0.59044,0.08619111111111111
14,neighbors25,scincl,abstract,0.6766311111111111,0.23036,0.44627111111111106
14,neighbors25,scibert,title,0.6866444444444445,0.8357600000000001,-0.14911555555555556
14,neighbors25,scibert,abstract,0.6866444444444445,0.1602800000000001,0.5263644444444444
14,neighbors25,bert,title,0.6880133333333334,0.82704,-0.13902666666666663
14,neighbors25,bert,abstract,0.6880133333333334,0.17452,0.5134933333333334
14,neighbors25,mpnet,title,0.6472177777777778,0.504,0.14321777777777778
14,neighbors25,mpnet,abstract,0.6472177777777778,0.16012000000000004,0.48709777777777774
14,neighbors25,minilm,title,0.6562622222222222,0.56304,0.0932222222222222
14,neighbors25,minilm,abstract,0.6562622222222222,0.18823999999999996,0.46802222222222223
14,neighbors25,pubmedbert,title,0.7016355555555556,0.85072,-0.14908444444444446
14,neighbors25,pubmedbert,abstract,0.7016355555555556,0.17359999999999998,0.5280355555555556
14,neighbors25,biobert,title,0.6967866666666667,0.84944,-0.1526533333333333
14,neighbors25,biobert,abstract,0.6967866666666667,0.21939999999999993,0.47738666666666674
14,neighbors25,simcse,title,0.7124133333333333,0.8029200000000001,-0.09050666666666674
14,neighbors25,simcse,abstract,0.7124133333333333,0.23031999999999997,0.4820933333333334
15,cka,specter,title,0.25513604842138904,0.1350849587232057,0.12005108969818334
15,cka,specter,abstract,0.25513604842138904,0.04201584643596412,0.21312020198542492
15,cka,specter2,title,0.29634340314908403,0.17149460766950297,0.12484879547958105
15,cka,specter2,abstract,0.29634340314908403,0.03929017387877931,0.2570532292703047
15,cka,scincl,title,0.2752587969129741,0.13931655324469183,0.13594224366828228
15,cka,scincl,abstract,0.2752587969129741,0.024803441957736982,0.25045535495523713
15,cka,scibert,title,0.2892262445248823,0.4354075596323017,-0.14618131510741939
