field_id,k,model_a,input_a,model_b,input_b,kind,mean_overlap,chance_adjusted
11,25,scibert,title_abstract,mpnet,title_abstract,model,0.30284,0.28494574948665297
11,25,scibert,title_abstract,minilm,title_abstract,model,0.28996,0.2717351540041068
11,25,scibert,title_abstract,pubmedbert,title_abstract,model,0.58272,0.5720095277207392
11,25,scibert,title_abstract,biobert,title_abstract,model,0.5736,0.5626554414784394
11,25,scibert,title_abstract,simcse,title_abstract,model,0.31184,0.2941767556468173
11,25,bert,title_abstract,mpnet,title_abstract,model,0.30147999999999997,0.283550841889117
11,25,bert,title_abstract,minilm,title_abstract,model,0.29612,0.27805326488706367
11,25,bert,title_abstract,pubmedbert,title_abstract,model,0.43784,0.42341084188911704
11,25,bert,title_abstract,biobert,title_abstract,model,0.47576,0.4623041478439425
11,25,bert,title_abstract,simcse,title_abstract,model,0.42468000000000006,0.4099130595482547
11,25,mpnet,title_abstract,minilm,title_abstract,model,0.5646800000000001,0.5535064887063655
11,25,mpnet,title_abstract,pubmedbert,title_abstract,model,0.2894,0.2711607802874743
11,25,mpnet,title_abstract,biobert,title_abstract,model,0.29847999999999997,0.28047383983572893
11,25,mpnet,title_abstract,simcse,title_abstract,model,0.27716,0.25860661190965095
11,25,minilm,title_abstract,pubmedbert,title_abstract,model,0.27536,0.25676041067761807
11,25,minilm,title_abstract,biobert,title_abstract,model,0.28552,0.2671811909650924
11,25,minilm,title_abstract,simcse,title_abstract,model,0.27884,0.26032973305954826
11,25,pubmedbert,title_abstract,biobert,title_abstract,model,0.5894400000000001,0.5789020123203287
11,25,pubmedbert,title_abstract,simcse,title_abstract,model,0.30476,0.2869150308008213
11,25,biobert,title_abstract,simcse,title_abstract,model,0.32244,0.30504882956878854
11,50,specter,title,specter2,title,model,0.4153,0.38449388830347736
11,50,specter,title,scincl,title,model,0.4869,0.45986628029504745
11,50,specter,title,scibert,title,model,0.29002,0.25261325605900947
11,50,specter,title,bert,title,model,0.29109999999999997,0.2537501580611169
11,50,specter,title,mpnet,title,model,0.43168,0.4017369020021075
11,50,specter,title,minilm,title,model,0.38406,0.3516079452054795
11,50,specter,title,pubmedbert,title,model,0.34604,0.31158478398314016
