outcome,field_id,biomedical_models_in_pair,model_pairs,mean
cka_quality,26,2,1,0.9135995680889714
cka_quality,27,0,28,0.5784751407914568
cka_quality,27,1,16,0.5273908156900057
cka_quality,27,2,1,0.8569171514919537
cka_quality,28,0,28,0.664252938415989
cka_quality,28,1,16,0.6589598841793662
cka_quality,28,2,1,0.875295625879646
cka_quality,29,0,28,0.6942836542671127
cka_quality,29,1,16,0.6500223885157206
cka_quality,29,2,1,0.8784273485751447
cka_quality,30,0,28,0.6475051774590588
cka_quality,30,1,16,0.6314360858405232
cka_quality,30,2,1,0.8838959702027834
cka_quality,31,0,28,0.6843368633642538
cka_quality,31,1,16,0.6714906663609701
cka_quality,31,2,1,0.8907290889315964
cka_quality,32,0,28,0.6326805494694263
cka_quality,32,1,16,0.590957766796067
cka_quality,32,2,1,0.879782502099582
cka_quality,33,0,28,0.6365251234249435
cka_quality,33,1,16,0.6125843083849556
cka_quality,33,2,1,0.86686387481072
cka_quality,34,0,28,0.6459614644480564
cka_quality,34,1,16,0.6013990248629644
cka_quality,34,2,1,0.8648466382135972
cka_quality,35,0,28,0.6592264652579972
cka_quality,35,1,16,0.6215921215301045
cka_quality,35,2,1,0.8675516680061512
cka_quality,36,0,28,0.6084563997287097
cka_quality,36,1,16,0.5647932363125524
cka_quality,36,2,1,0.87709193566826
cka_equal2048,11,0,28,0.632231586647688
cka_equal2048,11,1,16,0.5796740874539019
cka_equal2048,11,2,1,0.8484785694205715
cka_equal2048,12,0,28,0.6002891344747671
cka_equal2048,12,1,16,0.5405708812680663
cka_equal2048,12,2,1,0.8253274687398259
cka_equal2048,13,0,28,0.6109565596589446
cka_equal2048,13,1,16,0.5932309975209323
cka_equal2048,13,2,1,0.8527539341550749
cka_equal2048,14,0,28,0.6044146651581431
cka_equal2048,14,1,16,0.5221706906203958
cka_equal2048,14,2,1,0.8261813240485625
cka_equal2048,15,0,28,0.714443409415183
cka_equal2048,15,1,16,0.6793183466424018
cka_equal2048,15,2,1,0.8763888799328348
cka_equal2048,16,0,28,0.6710271515006975
cka_equal2048,16,1,16,0.6761452277257279
cka_equal2048,16,2,1,0.894591709258715
cka_equal2048,17,0,28,0.6399178834771739
cka_equal2048,17,1,16,0.5936346913223791
cka_equal2048,17,2,1,0.8630770297122499
cka_equal2048,18,0,28,0.6396182360341458
cka_equal2048,18,1,16,0.5948774645260222
cka_equal2048,18,2,1,0.8510143770281122
cka_equal2048,19,0,28,0.6862966961102529
cka_equal2048,19,1,16,0.6491586029616359
cka_equal2048,19,2,1,0.869122156266838
cka_equal2048,20,0,28,0.6260269357294831
cka_equal2048,20,1,16,0.5301992499961612
cka_equal2048,20,2,1,0.8338771522201075
cka_equal2048,21,0,28,0.7870277597670564
cka_equal2048,21,1,16,0.7680755589265622
cka_equal2048,21,2,1,0.9135079611990834
cka_equal2048,22,0,28,0.6296647989842354
cka_equal2048,22,1,16,0.5990868203307314
cka_equal2048,22,2,1,0.8541626720205165
cka_equal2048,23,0,28,0.6619166136961335
cka_equal2048,23,1,16,0.6098884194296532
cka_equal2048,23,2,1,0.8559002280354442
cka_equal2048,24,0,28,0.6443480910935413
cka_equal2048,24,1,16,0.6235867316411745
cka_equal2048,24,2,1,0.8632898525041949
cka_equal2048,25,0,28,0.6256535035886349
cka_equal2048,25,1,16,0.6240085952965871
cka_equal2048,25,2,1,0.8555324573916041
cka_equal2048,26,0,28,0.6921043649878108
cka_equal2048,26,1,16,0.6214370634081084
cka_equal2048,26,2,1,0.8893081524833286
cka_equal2048,27,0,28,0.5705343364899625
cka_equal2048,27,1,16,0.5068135980108817
cka_equal2048,27,2,1,0.8384053653558843
cka_equal2048,28,0,28,0.656765854311476
cka_equal2048,28,1,16,0.6421476158359141
cka_equal2048,28,2,1,0.8635213108806374
cka_equal2048,29,0,28,0.68550840660315
cka_equal2048,29,1,16,0.6261016607052448
cka_equal2048,29,2,1,0.8626124713363124
cka_equal2048,30,0,28,0.6513661747023096
cka_equal2048,30,1,16,0.6308709177123382
cka_equal2048,30,2,1,0.8754203997910018
cka_equal2048,31,0,28,0.6697067934820541
cka_equal2048,31,1,16,0.6491422640809581
cka_equal2048,31,2,1,0.8797386039350343
cka_equal2048,32,0,28,0.6231527206096745
cka_equal2048,32,1,16,0.565546563666532
cka_equal2048,32,2,1,0.8636468110137553
cka_equal2048,33,0,28,0.6177976679431142
cka_equal2048,33,1,16,0.5679844480404747
