outcome,omitted_model,feature,rank,columns,identified,coefficient,r_squared
cka_quality,simcse,same_architecture,7,7,True,-0.17767132085582582,0.9225112418284094
cka_quality,simcse,same_lineage,7,7,True,0.019242464969529537,0.9225112418284094
cka_quality,simcse,same_final_corpus_group,7,7,True,-0.08790093673905212,0.9225112418284094
cka_quality,simcse,same_objective,7,7,True,0.43005425974055017,0.9225112418284094
cka_quality,simcse,same_domain,7,7,True,0.0265900594690377,0.9225112418284094
cka_quality,simcse,same_pooling,7,7,True,-0.18808472766266854,0.9225112418284094
cka_cls,specter,intercept,7,7,True,0.5264257522926199,0.405923407947006
cka_cls,specter,same_architecture,7,7,True,-0.06288239783665944,0.405923407947006
cka_cls,specter,same_lineage,7,7,True,0.03735363727427269,0.405923407947006
cka_cls,specter,same_final_corpus_group,7,7,True,0.16172771643582326,0.405923407947006
cka_cls,specter,same_objective,7,7,True,0.1865717404913619,0.405923407947006
cka_cls,specter,same_domain,7,7,True,-0.030599738547166785,0.405923407947006
cka_cls,specter,same_pooling,7,7,True,-0.01115763235788529,0.405923407947006
cka_cls,specter2,intercept,7,7,True,0.5294587149432066,0.3908754918224512
cka_cls,specter2,same_architecture,7,7,True,-0.057811043488761364,0.3908754918224512
cka_cls,specter2,same_lineage,7,7,True,0.03206082138991263,0.3908754918224512
cka_cls,specter2,same_final_corpus_group,7,7,True,0.16864562568270006,0.3908754918224512
cka_cls,specter2,same_objective,7,7,True,0.18165427755519523,0.3908754918224512
cka_cls,specter2,same_domain,7,7,True,-0.033874167602813504,0.3908754918224512
cka_cls,specter2,same_pooling,7,7,True,-0.012916612263535972,0.3908754918224512
cka_cls,scincl,intercept,7,7,True,0.5236318219522614,0.3829350019055777
cka_cls,scincl,same_architecture,7,7,True,-0.11894196351083472,0.3829350019055777
cka_cls,scincl,same_lineage,7,7,True,0.03394338842339884,0.3829350019055777
cka_cls,scincl,same_final_corpus_group,7,7,True,0.10328590564529348,0.3829350019055777
