outcome,model_a,model_b,intercept,same_architecture,same_lineage,same_final_corpus_group,same_objective,same_domain,same_pooling
neighbors_2048_cls_k25,scibert,bert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
neighbors_2048_cls_k25,scibert,mpnet,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_cls_k25,scibert,minilm,1.0,0.0,0.0,0.0,0.0,0.0,0.0
neighbors_2048_cls_k25,scibert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
neighbors_2048_cls_k25,scibert,biobert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
neighbors_2048_cls_k25,scibert,simcse,1.0,1.0,0.0,0.0,0.0,0.0,1.0
neighbors_2048_cls_k25,bert,mpnet,1.0,0.0,0.0,0.0,0.0,1.0,0.0
neighbors_2048_cls_k25,bert,minilm,1.0,0.0,0.0,0.0,0.0,1.0,0.0
neighbors_2048_cls_k25,bert,pubmedbert,1.0,1.0,0.0,0.0,1.0,0.0,1.0
neighbors_2048_cls_k25,bert,biobert,1.0,1.0,1.0,0.0,1.0,0.0,1.0
neighbors_2048_cls_k25,bert,simcse,1.0,1.0,1.0,0.0,0.0,1.0,1.0
