subfield_id,corpus_rows,small_n,large_n,model_a,model_b,repeats,median_small,median_large,median_size_change,central95_width,passes_operational_screen,large_sample_equals_whole_group
1200,30,15,30,specter,pubmedbert,20,0.2614760165724972,0.23209325532397215,0.02938276124852504,1.6014967130217883e-14,False,True
1200,30,15,30,specter,biobert,20,0.29114958538345614,0.27098793896451223,0.020161646418943913,2.4980018054066022e-15,False,True
1200,30,15,30,specter,simcse,20,0.4013813985130671,0.37421496467449955,0.02716643383856754,1.4988010832439613e-15,False,True
1200,30,15,30,specter2,minilm,20,0.5900311791259609,0.6402606951431818,0.05022951601722092,2.1094237467877974e-15,False,True
1200,30,15,30,specter2,pubmedbert,20,0.2589122374636025,0.2366183158625993,0.022293921601003186,1.2656542480726785e-14,False,True
1200,30,15,30,specter2,simcse,20,0.40561824424640136,0.3782764669728255,0.02734177727357584,2.7200464103316335e-15,False,True
1200,30,15,30,scincl,simcse,20,0.44776514225684516,0.41772267368913685,0.030042468567708314,2.0539125955565396e-15,False,True
1200,30,15,30,scibert,bert,20,0.7598913506438219,0.7347584033968562,0.025132947246965687,2.6645352591003757e-15,False,True
1200,30,15,30,scibert,minilm,20,0.4152548448168464,0.3886358404789588,0.026619004337887553,1.942890293094024e-15,False,True
1200,30,15,30,scibert,pubmedbert,20,0.7646438792978978,0.6715731602210802,0.09307071907681763,1.021405182655144e-14,False,True
1200,30,15,30,scibert,biobert,20,0.8125983842651523,0.7571938891690391,0.05540449509611323,2.9976021664879227e-15,False,True
1200,30,15,30,bert,mpnet,20,0.5361265016975512,0.5110029869845272,0.025123514713023987,1.7763568394002505e-15,False,True
1200,30,15,30,bert,pubmedbert,20,0.7186210079551192,0.6606709700947139,0.05795003786040531,1.432187701766452e-14,False,True
1200,30,15,30,bert,biobert,20,0.7682223961190998,0.724030685857385,0.04419171026171487,2.7755575615628914e-15,False,True
1200,30,15,30,mpnet,minilm,20,0.7277221818054119,0.7584748927275989,0.03075271092218701,5.551115123125783e-16,False,True
1200,30,15,30,mpnet,pubmedbert,20,0.31001140820515477,0.27116280860388675,0.03884859960126802,1.404432126150823e-14,False,True
1200,30,15,30,minilm,pubmedbert,20,0.3608641296403333,0.3050484405158971,0.05581568912443624,1.7319479184152442e-14,False,True
1200,30,15,30,minilm,biobert,20,0.4761017589141368,0.43245288374823176,0.04364887516590504,1.9984014443252818e-15,False,True
1200,30,15,30,pubmedbert,biobert,20,0.826490154929913,0.7916321956061795,0.03485795932373348,1.099120794378905e-14,False,True
1200,30,15,30,pubmedbert,simcse,20,0.43122627159716753,0.38956997203343924,0.041656299563728294,1.7486012637846216e-14,False,True
1202,1202,256,512,specter,pubmedbert,20,0.34860064565383336,0.3466642659547383,0.0019363796990950477,0.043481429513173186,False,False
1202,1202,256,512,specter,biobert,20,0.3399749020267306,0.33400368054828045,0.005971221478450139,0.04398270014741795,False,False
1202,1202,256,512,specter2,scibert,20,0.4116767538544537,0.41108712068823483,0.0005896331662188503,0.04218649092153204,False,False
1202,1202,256,512,specter2,biobert,20,0.3202710599569706,0.31689080268513015,0.0033802572718404367,0.044588521739154396,False,False
1202,1202,256,512,scibert,mpnet,20,0.35332924724024783,0.3538619116332765,0.0005326643930286812,0.04702181347684159,False,False
1202,1202,256,512,scibert,minilm,20,0.39813891572666266,0.39748199362184894,0.0006569221048137175,0.04193876339762215,False,False
1202,1202,256,512,bert,mpnet,20,0.4880111217933172,0.47948583158265407,0.008525290210663117,0.043888851236736026,False,False
1202,1202,256,512,mpnet,biobert,20,0.30011147660732185,0.30020325106987605,9.177446255420607e-05,0.04889942253947599,False,False
1202,1202,256,512,minilm,biobert,20,0.34969587887246567,0.3397978239554378,0.009898054917027888,0.046692595474274234,False,False
1202,1202,256,512,pubmedbert,simcse,20,0.5939517049309632,0.5893281609733003,0.004623543957662846,0.040992077749053,False,False
1203,1990,256,512,specter,scibert,20,0.5324723606403273,0.528539962435332,0.003932398204995358,0.06274536054816254,False,False
1203,1990,256,512,specter,bert,20,0.5678685140603335,0.5652024271500147,0.0026660869103187768,0.053754431490920074,False,False
1203,1990,256,512,specter,pubmedbert,20,0.4097929792445557,0.41418608739840435,0.004393108153848635,0.0989924997142076,False,False
1203,1990,256,512,specter,biobert,20,0.43468945991484575,0.4167915191856083,0.01789794072923745,0.10028888638986505,False,False
1203,1990,256,512,specter,simcse,20,0.5559144478382592,0.5600141572996984,0.004099709461439227,0.04840052123238092,False,False
1203,1990,256,512,specter2,scibert,20,0.5992449386201262,0.5931221949219155,0.006122743698210642,0.06417947269184088,False,False
1203,1990,256,512,specter2,bert,20,0.5825867570355358,0.5821520893414727,0.0004346676940630845,0.05905448479430786,False,False
1203,1990,256,512,specter2,pubmedbert,20,0.43999306246465886,0.4487280852607065,0.008735022796047653,0.1040769851726645,False,False
1203,1990,256,512,specter2,biobert,20,0.46924258837339333,0.4477224094521046,0.021520178921288713,0.10602907431980252,False,False
1203,1990,256,512,specter2,simcse,20,0.5497853350833348,0.5527982444917092,0.003012909408374398,0.04144706233618867,False,False
1203,1990,256,512,scincl,scibert,20,0.5455258306596149,0.540848460167457,0.004677370492157884,0.06009146306859203,False,False
1203,1990,256,512,scincl,bert,20,0.5703658533315207,0.5661020479223713,0.0042638054091493904,0.06231123522263826,False,False
1203,1990,256,512,scincl,pubmedbert,20,0.4244207843357794,0.42090659005702974,0.0035141942787496605,0.09090513710142589,False,False
1203,1990,256,512,scincl,biobert,20,0.4347983978994465,0.41992647705515446,0.014871920844292064,0.1007406237663439,False,False
1203,1990,256,512,scincl,simcse,20,0.5525174365421777,0.5532247896479822,0.000707353105804498,0.04261688198234481,False,False
1203,1990,256,512,scibert,mpnet,20,0.5661051800487168,0.557608508234196,0.00849667181452074,0.05962881308228918,False,False
1203,1990,256,512,scibert,minilm,20,0.5465266403775721,0.5429027677615573,0.0036238726160148227,0.04979983373709951,False,False
1203,1990,256,512,scibert,biobert,20,0.7815137736037199,0.7776167799571279,0.0038969936465920174,0.04791764518012698,False,False
1203,1990,256,512,bert,mpnet,20,0.6126098421350298,0.6095441906581902,0.0030656514768395704,0.05159130349973562,False,False
1203,1990,256,512,bert,minilm,20,0.5988893333936502,0.5947815180988404,0.004107815294809858,0.047238004856855254,False,False
1203,1990,256,512,mpnet,pubmedbert,20,0.4437268584726369,0.4386973245630627,0.005029533909574169,0.09779336140792894,False,False
1203,1990,256,512,mpnet,biobert,20,0.46493081957330157,0.4535315104242566,0.011399309149044967,0.10357382980435376,False,False
1203,1990,256,512,minilm,pubmedbert,20,0.43947656823259196,0.4408222297735441,0.00134566154095217,0.07779781812792197,False,False
1203,1990,256,512,minilm,biobert,20,0.4687593998994848,0.45646733136768447,0.012292068531800315,0.08780013301058931,False,False
1203,1990,256,512,pubmedbert,biobert,20,0.833456933789191,0.8266212372917072,0.006835696497483723,0.04536836879409589,False,False
1203,1990,256,512,pubmedbert,simcse,20,0.5727839268058508,0.5714116775584136,0.001372249247437174,0.040241254751283484,False,False
1203,1990,256,512,biobert,simcse,20,0.5855153707098762,0.5823600815242258,0.003155289185650445,0.06689922175926621,False,False
