cls: Field 29, 2015, n=2,166, 1.6s
cls: Field 29, 2020, n=2,166, 1.7s
cls: Field 30, 2000, n=2,166, 1.7s
cls: Field 30, 2005, n=2,166, 1.8s
cls: Field 30, 2010, n=2,166, 1.7s
cls: Field 30, 2015, n=2,166, 1.6s
cls: Field 30, 2020, n=2,166, 1.6s
cls: Field 31, 2000, n=2,166, 1.7s
cls: Field 31, 2005, n=2,704, 2.0s
cls: Field 31, 2010, n=3,094, 2.0s
cls: Field 31, 2015, n=3,388, 2.3s
cls: Field 31, 2020, n=3,470, 2.2s
cls: Field 32, 2000, n=2,166, 1.9s
cls: Field 32, 2005, n=2,166, 2.0s
cls: Field 32, 2010, n=2,166, 2.2s
cls: Field 32, 2015, n=2,577, 2.0s
cls: Field 32, 2020, n=3,970, 2.4s
cls: Field 33, 2000, n=2,776, 1.9s
cls: Field 33, 2005, n=4,893, 2.5s
cls: Field 33, 2010, n=7,110, 3.0s
cls: Field 33, 2015, n=8,891, 3.1s
cls: Field 33, 2020, n=13,879, 4.5s
cls: Field 34, 2000, n=2,166, 2.0s
cls: Field 34, 2005, n=2,166, 1.7s
cls: Field 34, 2010, n=2,165, 1.8s
cls: Field 34, 2015, n=2,165, 1.8s
cls: Field 34, 2020, n=2,165, 2.0s
cls: Field 35, 2000, n=2,165, 1.8s
cls: Field 35, 2005, n=2,165, 1.8s
cls: Field 35, 2010, n=2,165, 1.7s
cls: Field 35, 2015, n=2,165, 2.2s
cls: Field 35, 2020, n=2,165, 1.8s
cls: Field 36, 2000, n=2,165, 1.8s
cls: Field 36, 2005, n=2,165, 2.2s
cls: Field 36, 2010, n=2,165, 2.0s
cls: Field 36, 2015, n=2,165, 1.7s
cls: Field 36, 2020, n=2,833, 2.1s
sep: Field 11, 2000, n=2,166, 15.2s
sep: Field 11, 2005, n=2,528, 2.1s
sep: Field 11, 2010, n=3,940, 2.3s
sep: Field 11, 2015, n=4,298, 2.7s
sep: Field 11, 2020, n=6,491, 3.2s
sep: Field 12, 2000, n=2,166, 1.8s
sep: Field 12, 2005, n=2,166, 1.8s
sep: Field 12, 2010, n=2,186, 1.8s
sep: Field 12, 2015, n=2,732, 1.8s
sep: Field 12, 2020, n=3,380, 1.7s
sep: Field 13, 2000, n=2,739, 1.4s
sep: Field 13, 2005, n=4,071, 1.6s
sep: Field 13, 2010, n=5,251, 1.9s
sep: Field 13, 2015, n=5,596, 2.0s
sep: Field 13, 2020, n=6,840, 2.2s
