metric,model,field_id,condition,reference_kind,n,reference,value,difference,relative_difference,same_ids
gap_25,simcse,11,abstract,half,1000,0.1696946419134377,0.1617143002097367,-0.007980341703700988,-0.04702765870340096,True
gap_25,simcse,12,abstract,half,1000,0.14501998402063335,0.14127244997839342,-0.0037475340422399306,-0.025841500863127483,True
gap_25,simcse,13,abstract,half,1000,0.13919483427200258,0.14281199375349418,0.0036171594814916053,0.025986305457451554,True
gap_25,simcse,14,abstract,half,1000,0.1743095126350441,0.16949728514574544,-0.004812227489298659,-0.027607371603259157,True
gap_25,simcse,15,abstract,half,1000,0.09973068157576598,0.09862736706643344,-0.0011033145093325425,-0.01106293962800553,True
gap_25,simcse,16,abstract,half,1000,0.0937519047071036,0.09661444942607998,0.002862544718976387,0.030533189996720052,True
gap_25,simcse,17,abstract,half,1000,0.14915853581898728,0.15054176109294073,0.001383225273953459,0.00927352408200148,True
gap_25,simcse,18,abstract,half,1000,0.14518185498984634,0.14120650466844414,-0.003975350321402199,-0.02738186753213909,True
gap_25,simcse,19,abstract,half,1000,0.09768331137731003,0.09513918380757352,-0.0025441275697365012,-0.02604464912035582,True
gap_25,simcse,20,abstract,half,1000,0.18553191307298011,0.17644248593571982,-0.009089427137260297,-0.04899117885818876,True
gap_25,simcse,21,abstract,half,1000,0.12132056328593872,0.12003746888413004,-0.001283094401808682,-0.010576066967184904,True
gap_25,simcse,22,abstract,half,1000,0.13800417448942426,0.13653757867467228,-0.0014665958147519753,-0.010627184432485162,True
gap_25,simcse,23,abstract,half,1000,0.12785491139781102,0.1266317679923295,-0.0012231434054815193,-0.009566651700033641,True
gap_25,simcse,24,abstract,half,1000,0.10103803124004335,0.10166293778298063,0.0006249065429372869,0.006184864602643051,True
gap_25,simcse,25,abstract,half,1000,0.19234418112284524,0.19158365213774126,-0.0007605289851039809,-0.003954000483218418,True
gap_25,simcse,26,abstract,half,1000,0.06553779870358023,0.06772958650116358,0.002191787797583347,0.033443109792206265,True
gap_25,simcse,27,abstract,half,1000,0.15440996807144025,0.15093212634502493,-0.003477841726415326,-0.022523427534200686,True
gap_25,simcse,28,abstract,half,1000,0.1266653618726842,0.1290245835298762,0.00235922165719199,0.018625625998395096,True
gap_25,simcse,29,abstract,half,1000,0.0725561591011447,0.0773504207232155,0.004794261622070806,0.06607656305769316,True
gap_25,simcse,30,abstract,half,1000,0.06847973597031298,0.07338109758646125,0.004901361616148264,0.07157389768957462,True
gap_25,simcse,31,abstract,half,1000,0.16318829398625215,0.16008273632182612,-0.003105557664426023,-0.019030517376985703,True
gap_25,simcse,32,abstract,half,1000,0.17030314840466457,0.159492533782006,-0.01081061462265856,-0.06347865394109449,True
gap_25,simcse,33,abstract,half,1000,0.15279589365352056,0.15055195851046566,-0.0022439351430549037,-0.014685834084934528,True
