panel,metric,model_a,model_b,field_rank_spearman
abstract,gap_25,pubmedbert,biobert,0.9158974358974358
abstract,gap_25,pubmedbert,simcse,0.5924786324786324
abstract,gap_25,biobert,simcse,0.5008547008547009
pool_cls,angle_p50,specter,specter2,0.3928205128205128
pool_cls,angle_p50,specter,scincl,0.4591452991452991
pool_cls,angle_p50,specter,scibert,0.5548717948717948
pool_cls,angle_p50,specter,bert,-0.08786324786324784
pool_cls,angle_p50,specter,mpnet,0.19589743589743588
pool_cls,angle_p50,specter,minilm,0.10495726495726496
pool_cls,angle_p50,specter,pubmedbert,0.4666666666666667
pool_cls,angle_p50,specter,biobert,0.4379487179487179
pool_cls,angle_p50,specter,simcse,-0.212991452991453
pool_cls,angle_p50,specter2,scincl,0.5076923076923077
pool_cls,angle_p50,specter2,scibert,0.1617094017094017
pool_cls,angle_p50,specter2,bert,-0.14119658119658116
pool_cls,angle_p50,specter2,mpnet,0.6731623931623931
pool_cls,angle_p50,specter2,minilm,0.5370940170940172
pool_cls,angle_p50,specter2,pubmedbert,-0.14256410256410257
pool_cls,angle_p50,specter2,biobert,-0.09675213675213674
