metric,model,field_id,field_name,kind,repeats,reference_n,reference,median,q05,q95,relative_width,relative_median_shift,passes_width,passes_shift,passes_both
pr,biobert,32,Psychology,external,5,2000,38.12444684893681,37.62193025802849,37.355525658258,37.81728639459371,0.012111932749224464,0.013180954281106773,True,True,True
pr,biobert,33,Social Sciences,half,20,2000,33.637735209060345,33.112810038357054,32.20114438576081,33.95633493778782,0.05217921305100969,0.015605247126206707,True,True,True
pr,biobert,33,Social Sciences,external,5,2000,33.637735209060345,34.455718282450874,34.31432523005535,35.19655686369389,0.026227438564321363,0.02431742411630034,True,True,True
pr,biobert,34,Veterinary,half,20,2000,43.15624173708499,41.67549599250543,40.932942996356935,42.537278321636165,0.03717504724005181,0.03431127653794571,True,True,True
pr,biobert,34,Veterinary,external,5,2000,43.15624173708499,43.40594843112337,43.24107474150544,43.76490901792104,0.012138088381441656,0.0057861084280608835,True,True,True
pr,biobert,35,Dentistry,half,20,2000,37.84920096613057,37.04425893124794,36.13460041349024,37.78231038155342,0.0435335469707178,0.02126708132102796,True,True,True
pr,biobert,35,Dentistry,external,5,2000,37.84920096613057,38.12071158118067,37.19866266051775,38.43923015252317,0.032776583397772376,0.007173483405714856,True,True,True
pr,biobert,36,Health Professions,half,20,2000,38.202233908829584,37.63504539319583,36.111405784647765,38.622714379968215,0.06573721843894627,0.014846998659485711,True,True,True
pr,biobert,36,Health Professions,external,5,2000,38.202233908829584,37.98698539484554,37.57577348582536,38.99915637583466,0.03725915331041197,0.005634448354453267,True,True,True
pr,simcse,11,Agricultural and Biological Sciences,half,20,2000,41.337156024423834,40.638924597251915,39.775941858897255,41.19629602272483,0.03436022940205095,0.0168911336512694,True,True,True
pr,simcse,11,Agricultural and Biological Sciences,external,5,2000,41.337156024423834,41.24328448756084,40.6619110267874,41.932382943828074,0.03073438134665147,0.002270875548562846,True,True,True
pr,simcse,12,Arts and Humanities,half,20,2000,54.23167836514911,52.87645335571443,52.20615260794946,53.90552523866017,0.031335423906090516,0.024989545783734843,True,True,True
pr,simcse,12,Arts and Humanities,external,5,2000,54.23167836514911,54.097950444333016,53.670980054786426,54.30803672419892,0.01174694733072997,0.002465863584668804,True,True,True
pr,simcse,13,"Biochemistry, Genetics and Molecular Biology",half,20,2000,34.46352541112241,33.86200287573507,33.064114415433195,34.435332171670986,0.039787506933207054,0.017453888660885798,True,True,True
