metric,model,field_id,n,value,reference,relative_to_2000
angle_p50,scincl,30,1000,40.57657915009235,40.608366950031275,0.9992172105817986
angle_p50,scincl,30,2000,40.608366950031275,40.608366950031275,1.0
angle_p50,scincl,30,4000,40.54205367951121,40.608366950031275,0.9983670047455575
angle_p50,scincl,31,500,41.291508709050014,41.53397563420202,0.9941622028363607
angle_p50,scincl,31,1000,41.348187992504094,41.53397563420202,0.9955268514785535
angle_p50,scincl,31,2000,41.53397563420202,41.53397563420202,1.0
angle_p50,scincl,31,4000,41.594416620167095,41.53397563420202,1.0014552179280256
angle_p50,scincl,32,500,44.59203053629896,44.63621144135037,0.9990102003816013
angle_p50,scincl,32,1000,44.726807017850426,44.63621144135037,1.0020296430538038
angle_p50,scincl,32,2000,44.63621144135037,44.63621144135037,1.0
angle_p50,scincl,32,4000,44.64571628110715,44.63621144135037,1.0002129401096074
angle_p50,scincl,33,500,42.56647818308831,42.2077990111278,1.008497935935156
angle_p50,scincl,33,1000,42.27383142996734,42.2077990111278,1.0015644601326434
angle_p50,scincl,33,2000,42.2077990111278,42.2077990111278,1.0
angle_p50,scincl,33,4000,42.284409328665795,42.2077990111278,1.0018150749229497
angle_p50,scincl,34,500,40.14685425906013,40.30802700141121,0.9960014727998113
angle_p50,scincl,34,1000,40.34478722675007,40.30802700141121,1.0009119827506707
angle_p50,scincl,34,2000,40.30802700141121,40.30802700141121,1.0
angle_p50,scincl,34,4000,40.26608991937749,40.30802700141121,0.9989595848481433
angle_p50,scincl,35,500,36.27160553743783,35.725443525535084,1.0152877601508956
angle_p50,scincl,35,1000,35.78644299617934,35.725443525535084,1.0017074517381612
angle_p50,scincl,35,2000,35.725443525535084,35.725443525535084,1.0
angle_p50,scincl,35,4000,35.72440363919007,35.725443525535084,0.9999708922761373
angle_p50,scincl,36,500,43.71306468779274,43.527845792207614,1.0042551817627117
angle_p50,scincl,36,1000,43.673833317677555,43.527845792207614,1.0033538881332849
angle_p50,scincl,36,2000,43.527845792207614,43.527845792207614,1.0
angle_p50,scincl,36,4000,43.59052458692222,43.527845792207614,1.0014399700599432
angle_p50,scibert,11,500,35.55340667013118,35.264304179927905,1.0081981623323177
angle_p50,scibert,11,1000,35.275096012591696,35.264304179927905,1.0003060270977906
angle_p50,scibert,11,2000,35.264304179927905,35.264304179927905,1.0
angle_p50,scibert,11,4000,35.24629924886995,35.264304179927905,0.9994894289997589
angle_p50,scibert,12,500,34.4275360953387,34.67480677351577,0.9928688664426552
angle_p50,scibert,12,1000,34.5343273905953,34.67480677351577,0.9959486614060165
angle_p50,scibert,12,2000,34.67480677351577,34.67480677351577,1.0
angle_p50,scibert,12,4000,34.64037360685952,34.67480677351577,0.9990069687516601
angle_p50,scibert,13,500,35.09419413831412,35.20901365738681,0.9967389169094601
angle_p50,scibert,13,1000,35.277464110978656,35.20901365738681,1.0019441173291
angle_p50,scibert,13,2000,35.20901365738681,35.20901365738681,1.0
angle_p50,scibert,13,4000,35.223670686440045,35.20901365738681,1.0004162862724828
angle_p50,scibert,14,500,34.328380751073,34.043019584081776,1.0083823694395386
angle_p50,scibert,14,1000,34.15327916966049,34.043019584081776,1.003238830953476
angle_p50,scibert,14,2000,34.043019584081776,34.043019584081776,1.0
angle_p50,scibert,14,4000,33.972840106748336,34.043019584081776,0.9979385060963789
angle_p50,scibert,15,500,32.89027871415053,32.72802697942841,1.0049575776390098
angle_p50,scibert,15,1000,32.842482226210336,32.72802697942841,1.0034971630539742
angle_p50,scibert,15,2000,32.72802697942841,32.72802697942841,1.0
angle_p50,scibert,15,4000,32.66372937436537,32.72802697942841,0.9980353962338318
angle_p50,scibert,16,500,34.94383565839579,34.888887715072,1.0015749411036698
angle_p50,scibert,16,1000,34.8071966476012,34.888887715072,0.9976585362039069
angle_p50,scibert,16,2000,34.888887715072,34.888887715072,1.0
angle_p50,scibert,16,4000,34.889064115855646,34.888887715072,1.0000050560735867
angle_p50,scibert,17,500,34.09197292868621,34.03342904240775,1.0017201877073718
angle_p50,scibert,17,1000,34.04291515710413,34.03342904240775,1.0002787293247637
angle_p50,scibert,17,2000,34.03342904240775,34.03342904240775,1.0
angle_p50,scibert,17,4000,33.975976769356905,34.03342904240775,0.9983118870279203
angle_p50,scibert,18,500,34.27199137832291,34.125020250936316,1.0043068436679554
angle_p50,scibert,18,1000,34.3503929933439,34.125020250936316,1.00660432552861
angle_p50,scibert,18,2000,34.125020250936316,34.125020250936316,1.0
angle_p50,scibert,18,4000,34.17951003475715,34.125020250936316,1.0015967692742787
angle_p50,scibert,19,500,34.473446386577784,34.52336928266875,0.9985539390526396
angle_p50,scibert,19,1000,34.39705852756168,34.52336928266875,0.9963412969900802
angle_p50,scibert,19,2000,34.52336928266875,34.52336928266875,1.0
angle_p50,scibert,19,4000,34.62491661918512,34.52336928266875,1.002941408634972
angle_p50,scibert,20,500,34.70433433630187,34.679778105446275,1.0007080850050691
angle_p50,scibert,20,1000,34.74738499352073,34.679778105446275,1.0019494613797382
angle_p50,scibert,20,2000,34.679778105446275,34.679778105446275,1.0
angle_p50,scibert,20,4000,34.6954831329313,34.679778105446275,1.0004528583613561
angle_p50,scibert,21,500,34.69110111420485,34.88631521785755,0.9944042785134047
angle_p50,scibert,21,1000,34.868684162091384,34.88631521785755,0.9994946139867147
angle_p50,scibert,21,2000,34.88631521785755,34.88631521785755,1.0
angle_p50,scibert,21,4000,34.7943572977616,34.88631521785755,0.9973640689903278
angle_p50,scibert,22,500,34.549519282316105,34.55937824485668,0.9997147239608675
angle_p50,scibert,22,1000,34.64656715911553,34.55937824485668,1.0025228727681703
