recipe,k,field_id,model,n,mean,median,p025,p975,min,max,positive_fraction,negative_fraction
sep,25,12,scibert,50,0.08275226666666667,0.0828288888888889,0.07512455555555557,0.09022633333333337,0.07402222222222221,0.09087999999999996,1.0,0.0
sep,25,12,bert,50,0.06342817777777779,0.06250444444444442,0.05713455555555559,0.07200455555555547,0.05616444444444446,0.07453777777777792,1.0,0.0
sep,25,12,mpnet,50,-0.12164968888888888,-0.12232000000000004,-0.13359144444444443,-0.10816266666666667,-0.13608888888888893,-0.10653777777777784,0.0,1.0
sep,25,12,minilm,50,-0.06513324444444446,-0.06503555555555568,-0.07497633333333331,-0.05642388888888884,-0.07581777777777776,-0.050773333333333226,0.0,1.0
sep,25,12,pubmedbert,50,0.12198239999999999,0.12248000000000003,0.11297144444444442,0.1294284444444445,0.11112444444444447,0.13036888888888887,1.0,0.0
sep,25,12,biobert,50,0.11480737777777776,0.11485999999999996,0.10743755555555558,0.12244644444444444,0.10531111111111102,0.12279111111111118,1.0,0.0
sep,25,12,simcse,50,0.07513493333333336,0.07513555555555562,0.06758488888888897,0.08367188888888896,0.06679111111111113,0.08608888888888888,1.0,0.0
mean,10,13,specter,50,-0.11128911111111109,-0.11259999999999998,-0.12271888888888885,-0.09468055555555545,-0.12473333333333336,-0.09341111111111111,0.0,1.0
mean,10,13,specter2,50,-0.13948488888888888,-0.13949444444444448,-0.1501088888888888,-0.13052444444444442,-0.15126666666666677,-0.12931111111111115,0.0,1.0
mean,10,13,scincl,50,-0.15088044444444443,-0.15090555555555557,-0.16500055555555546,-0.13966944444444435,-0.1659666666666666,-0.13431111111111105,0.0,1.0
mean,10,13,scibert,50,0.1516475555555556,0.15150000000000008,0.14189472222222219,0.1597897222222222,0.14058888888888887,0.1608666666666667,1.0,0.0
mean,10,13,bert,50,0.10947177777777777,0.11017777777777771,0.09949472222222223,0.12050833333333327,0.098411111111111,0.12221111111111105,1.0,0.0
mean,10,13,mpnet,50,-0.13101666666666667,-0.13202222222222215,-0.14493722222222225,-0.11805888888888898,-0.14927777777777773,-0.11638888888888888,0.0,1.0
