design,grouping,model_a,model_b,n,mean,median,p025,p975,min,max
size128_subfield183,random,pubmedbert,biobert,50,0.8664371765304363,0.8670988564913429,0.845877373828578,0.8829847434441018,0.8412924804650671,0.8838828724285115
size128_subfield183,random,pubmedbert,simcse,50,0.6334729700492295,0.6321935912232752,0.5930923877646068,0.6743328471261979,0.572683243213634,0.7082540537571699
size128_subfield183,random,biobert,simcse,50,0.6611735557094116,0.6594320133278524,0.6270689437961665,0.7021429354635784,0.6212491374171916,0.7237800780311361
size256_field,observed,specter,specter2,50,0.9606064843048907,0.9606887289471466,0.9568663939478957,0.9639145855810611,0.9566721204325074,0.9645682622721822
size256_field,observed,specter,scincl,50,0.9668495416127842,0.9669672184080953,0.964513931623455,0.9694622073273249,0.9643849565615036,0.9703570642313429
size256_field,observed,specter,scibert,50,0.9393227013258784,0.9392473992763617,0.9339953134913448,0.9461945977512146,0.9328431399271602,0.9471868412071899
size256_field,observed,specter,bert,50,0.9025067899328205,0.9025780167393532,0.897534839733133,0.9079630147915217,0.8967531601397276,0.909488285361984
size256_field,observed,specter,mpnet,50,0.9526211014503765,0.9528352800468571,0.9488412808565391,0.956714144875837,0.9468409411376245,0.9570574059499338
size256_field,observed,specter,minilm,50,0.9576610851635402,0.9576757344615722,0.9517681339766745,0.962452133306115,0.9507183827949448,0.9627619563491581
size256_field,observed,specter,pubmedbert,50,0.8698134307851039,0.8703649168612483,0.8603155288060581,0.8794809662241337,0.85426466727322,0.883482055181799
size256_field,observed,specter,biobert,50,0.8969604518496235,0.8972223409021901,0.8896354698498485,0.9024514674748892,0.8876662415199266,0.9089299775778866
size256_field,observed,specter,simcse,50,0.9335427160877063,0.9335575182168497,0.9285377947699707,0.9384515209027512,0.9280885514572265,0.9416070081390645
size256_field,observed,specter2,scincl,50,0.9740654137969039,0.9740653122674059,0.9722869807884935,0.975565646718174,0.9721321306879499,0.9759574178298719
size256_field,observed,specter2,scibert,50,0.958139960851408,0.9584676326185966,0.953231797938471,0.9624542367120339,0.9528798380831415,0.9639605043775287
size256_field,observed,specter2,bert,50,0.9407428141597475,0.9408768207595365,0.9363552654624065,0.9444860401736772,0.9360689633213153,0.9457597880958416
size256_field,observed,specter2,mpnet,50,0.9626295182610928,0.9627938746335196,0.9595162871467217,0.9653405069251807,0.958144915519222,0.966244648965922
size256_field,observed,specter2,minilm,50,0.9551474887051974,0.9552124725486901,0.9522117043806765,0.9586571534316783,0.9506218924969427,0.9586914460190665
