omitted_field,model_a,model_b,n,mean,median,p025,p975,min,max,largest_absolute_change
20,specter2,scincl,51,-0.0011832676676955174,-0.001166127800246275,-0.0016112816411007203,-0.0008782337246301675,-0.0017259767753670108,-0.0008336908305469626,0.0017259767753670108
20,specter2,scibert,51,-0.0013989776379839571,-0.0015464910337203985,-0.002321738202009982,-0.00034397696436513914,-0.002806593278085856,-0.00015941892560311643,0.002806593278085856
20,specter2,bert,51,-0.004025012946288179,-0.004007237515347706,-0.004978166626152247,-0.0032958592347524795,-0.005083523663447109,-0.0032310271349285102,0.005083523663447109
20,specter2,mpnet,51,-0.0014695797175907654,-0.0014447984053208573,-0.0021725642042395577,-0.0008932170145594387,-0.0023278701803381985,-0.0008136782532891518,0.0023278701803381985
20,specter2,minilm,51,-0.0020357876239894346,-0.0020245166200337783,-0.002866679013794615,-0.0010436772530835747,-0.002893173733310772,-0.0009677251359617722,0.002893173733310772
20,specter2,pubmedbert,51,-0.004877142808706789,-0.004798256958518099,-0.006089414534414694,-0.003922966788992205,-0.0065020826885180405,-0.0037723075732980504,0.0065020826885180405
20,specter2,biobert,51,-0.0037975779484122197,-0.0037240160242930642,-0.004724662271292507,-0.0030086078052994902,-0.005434776042928968,-0.0029601288841092366,0.005434776042928968
20,specter2,simcse,51,-0.0036040753015533144,-0.0036110928687996813,-0.004346503021857601,-0.002773648368110504,-0.004496329171765789,-0.002609729479245093,0.004496329171765789
20,scincl,scibert,51,-0.0004897995765092498,-0.0004962510271027121,-0.0016323623980816215,0.0008929343414998125,-0.001722737894608084,0.001315919965308776,0.001722737894608084
20,scincl,bert,51,-0.002967071916330756,-0.0029641750745083018,-0.0038765652012180685,-0.002077550804187589,-0.004558117293151809,-0.002058462166899422,0.004558117293151809
20,scincl,mpnet,51,-0.0018287719583313493,-0.001824258188704131,-0.0027639646009363084,-0.0009843217580837449,-0.0028245723781493703,-0.0008505300858825393,0.0028245723781493703
20,scincl,minilm,51,-0.0022765288443419404,-0.0023812185478331305,-0.0032124285085967375,-0.0011877728581758673,-0.0033164651223623887,-0.0010745317960553225,0.0033164651223623887
20,scincl,pubmedbert,51,-0.002146683706696394,-0.0022377031917142354,-0.003812942479474224,-0.0005462091391552071,-0.0038640969713353845,-0.0003321534254939751,0.0038640969713353845
20,scincl,biobert,51,-0.0017804120216689458,-0.0017588304140785382,-0.002945395337370038,-0.00039239321523845683,-0.0031820168001859273,-0.0002629559385319835,0.0031820168001859273
20,scincl,simcse,51,-0.003476641554877079,-0.0035171959763172778,-0.004461685374835572,-0.0025910949828975294,-0.004496890516008656,-0.0024623798043292844,0.004496890516008656
20,scibert,bert,51,0.0007193156286618615,0.0007196951485094472,-0.00016841850570031847,0.0016014667561275453,-0.0002305693926519803,0.0018881553070287938,0.0018881553070287938
20,scibert,mpnet,51,0.0006526905398166058,0.0005230134388407581,-0.0007621402609504224,0.0027855687586874345,-0.0008113864323634479,0.0028902733088801424,0.0028902733088801424
20,scibert,minilm,51,-0.0009372088299282545,-0.0010098387419106292,-0.0024897381406050467,0.0007978670976070135,-0.0027650223649210437,0.0013162350146987967,0.0027650223649210437
20,scibert,pubmedbert,51,-0.003057601194448022,-0.0030014862416040122,-0.0037072225399594205,-0.002521659496334594,-0.003791815326073089,-0.0023659891717785486,0.003791815326073089
20,scibert,biobert,51,-0.002248467260005711,-0.00222237115893964,-0.0027263233363123973,-0.0019182434909902624,-0.0030194012899186218,-0.0018523526199624163,0.0030194012899186218
20,scibert,simcse,51,-0.0005549976114234657,-0.0005691725680997406,-0.0010705225655201211,4.6539818747998174e-05,-0.0013216855403356265,0.00028453527088334596,0.0013216855403356265
20,bert,mpnet,51,-0.002815308655459421,-0.0027913964027013183,-0.003909651423460725,-0.001839925795588615,-0.003948436963521984,-0.0017175294300978416,0.003948436963521984
20,bert,minilm,51,-0.0025878063844503676,-0.002633776183351366,-0.004059028141596255,-0.0009109945019314114,-0.004312112740123553,-0.000651706776313099,0.004312112740123553
20,bert,pubmedbert,51,-0.0013432371214963537,-0.0013927771135000544,-0.0021278294310377865,-8.4055364980129e-05,-0.0021430403451745406,0.00019425151785346095,0.0021430403451745406
20,bert,biobert,51,-9.108115170195322e-05,-0.00014001395855522958,-0.0009091092475043694,0.000896311340445044,-0.0009855158486906657,0.0009737083117666856,0.0009855158486906657
20,bert,simcse,51,6.743233273961054e-05,3.347294894540109e-05,-0.0004460287137640351,0.0007733851590082108,-0.0008657113971201058,0.0010289447001481378,0.0010289447001481378
20,mpnet,minilm,51,9.513536580168089e-05,8.312183705316833e-05,-0.00030065882833490987,0.00048683010740566135,-0.00036378054903096757,0.0005557444952313251,0.0005557444952313251
20,mpnet,pubmedbert,51,-0.0025968472330493066,-0.0027413391937078924,-0.004083225384572647,-0.0005756867087227946,-0.004155933631084685,0.00016285706220808827,0.004155933631084685
20,mpnet,biobert,51,-0.002132151077170252,-0.0021263948974841185,-0.003410301920310471,-0.0006300162241806573,-0.0036294749659960823,-0.00034098464148324403,0.0036294749659960823
20,mpnet,simcse,51,-0.001586548157205246,-0.0016410432854773171,-0.002969202864168796,6.426332012210434e-05,-0.003049147108089345,0.0002109411013480056,0.003049147108089345
20,minilm,pubmedbert,51,-0.0040301485847888474,-0.003773987078604879,-0.0057722094111963,-0.0024044894499592184,-0.006359211082828664,-0.002176175602378372,0.006359211082828664
20,minilm,biobert,51,-0.0031750831100374336,-0.003026132226820688,-0.005039206490919962,-0.0016810499313757998,-0.005412228133412911,-0.0016285487663881826,0.005412228133412911
