representation,metric,cutoff,field_a,field_b,model,direction,smallest_relative_difference,largest_relative_difference
global_centered,angle_p50,0.0,21,30,pubmedbert,-1,-0.022916326987834856,-0.009794893593644487
global_centered,angle_p50,0.0,21,30,biobert,-1,-0.013324623752979834,-0.002490613460489047
global_centered,angle_p50,0.0,21,30,simcse,-1,-0.015394694948297611,-0.0042035700567428684
global_centered,angle_p50,0.0,21,31,specter,-1,-0.03210714398573812,-0.017955068918469933
global_centered,angle_p50,0.0,21,31,specter2,-1,-0.013575007011334387,-0.0024618613579539842
global_centered,angle_p50,0.0,21,31,scincl,-1,-0.06325217612604511,-0.046330289541176836
global_centered,angle_p50,0.0,21,31,scibert,-1,-0.0686413158452191,-0.058496487919154024
global_centered,angle_p50,0.0,21,31,bert,-1,-0.14145960875062247,-0.12436661708876404
global_centered,angle_p50,0.0,21,31,mpnet,-1,-0.03387657546847263,-0.024236911287616063
global_centered,angle_p50,0.0,21,31,minilm,-1,-0.02611048225004743,-0.01746653450356608
global_centered,angle_p50,0.0,21,31,pubmedbert,-1,-0.10379764830706296,-0.09129067874854217
global_centered,angle_p50,0.0,21,31,biobert,-1,-0.08999296734615657,-0.07735503391504418
global_centered,angle_p50,0.0,21,31,simcse,-1,-0.06310058828796826,-0.052891666484872035
global_centered,angle_p50,0.0,21,32,specter,-1,-0.03065348836414226,-0.016131016902367536
global_centered,angle_p50,0.0,21,32,specter2,-1,-0.016750713192277673,-0.0076154619889615615
global_centered,angle_p50,0.0,21,32,scincl,-1,-0.021821025309601987,-0.008293663910433187
global_centered,angle_p50,0.0,21,32,scibert,-1,-0.029708255343212135,-0.018607595279491875
global_centered,angle_p50,0.0,21,32,bert,-1,-0.07477193730102341,-0.05725834050429148
global_centered,angle_p50,0.0,21,32,mpnet,-1,-0.015337319281740498,-0.008202067249846628
global_centered,angle_p50,0.0,21,32,minilm,-1,-0.014955169937928427,-0.008380431660490037
global_centered,angle_p50,0.0,21,32,pubmedbert,-1,-0.031435733745900106,-0.018398710482460365
global_centered,angle_p50,0.0,21,32,biobert,-1,-0.03017550395253272,-0.016996172283077007
global_centered,angle_p50,0.0,21,32,simcse,-1,-0.0312813593936823,-0.022319998740685288
global_centered,angle_p50,0.0,21,33,specter,-1,-0.03695340301713764,-0.019337686265524623
