scope,k,field_id,n,mean,median,p025,p975,min,max
2048,25,14,90,0.18844444444444466,0.20000000000000018,-0.422000000000001,0.8529999999999982,-0.7999999999999952,1.200000000000001
2048,50,14,90,0.1219999999999999,0.14000000000000123,-0.3200000000000036,0.5554999999999997,-0.43999999999999595,0.7000000000000006
all,10,15,225,0.5584824853664145,0.4992511233150282,0.0,1.3511742217367566,-0.06316812439261521,1.796832332058984
all,25,15,225,0.763000735630148,0.6549222797927468,0.098736637512149,1.8167121791370822,0.054421768707485496,2.3069361004915354
all,50,15,225,0.9288906740195532,0.7968047928107846,0.1344995140913552,2.044347351174221,0.07871720116617853,2.5636264336428183
1024,10,15,225,-0.01911111111111126,0.0,-1.9800000000000018,1.6999999999999982,-2.500000000000002,2.0000000000000018
1024,25,15,225,0.06577777777777763,0.11999999999999789,-1.0159999999999991,1.2399999999999989,-1.8399999999999972,1.8000000000000016
1024,50,15,225,0.034311111111111514,0.0200000000000089,-0.915999999999999,1.0679999999999992,-1.16,1.4600000000000002
2048,10,15,45,0.07555555555555574,0.0,-0.7900000000000007,0.8900000000000007,-0.8000000000000007,1.200000000000001
2048,25,15,45,0.13511111111111174,0.12000000000000066,-0.3159999999999985,0.7920000000000006,-0.3200000000000036,0.9599999999999997
2048,50,15,45,0.031999999999999924,0.0,-0.4159999999999986,0.47800000000000226,-0.41999999999999815,0.539999999999996
all,10,16,225,1.2153845955493787,1.2362796071634903,0.4464285714285715,2.270237370663421,0.3413865546218475,2.6232501521606775
all,25,16,225,1.5946271959536473,1.5313451004260488,0.6920168067226856,2.648326232501521,0.5525210084033616,2.965307364576994
all,50,16,225,2.022292379345724,2.071819841752892,0.9292016806722692,3.1600231080300425,0.764705882352934,3.4449178332318917
1024,10,16,225,0.28933333333333333,0.20000000000000018,-1.4400000000000013,2.14,-2.399999999999997,3.200000000000003
1024,25,16,225,0.6389333333333336,0.6399999999999961,-1.0159999999999991,2.1920000000000046,-2.1199999999999997,3.639999999999999
1024,50,16,225,0.8095999999999999,0.8799999999999975,-0.9799999999999998,2.3400000000000025,-1.5999999999999959,2.679999999999999
all,10,17,225,0.8004171709471566,0.7414863277973499,0.08132814962698522,1.9212598425196854,0.02101502574340941,2.3897637795275593
all,25,17,225,0.9653664599398722,0.8971649052172459,0.10667227067353181,2.303622047244095,0.06346537774508665,2.8456692913385817
all,50,17,225,1.1084647058293486,0.989431303472571,0.12646842492382074,2.754173228346457,0.07103078701271581,3.144881889763779
1024,10,17,225,0.2075555555555554,0.20000000000000018,-1.6400000000000015,1.8800000000000028,-2.2999999999999963,2.9999999999999973
1024,25,17,225,0.1813333333333333,0.16000000000000458,-1.272000000000001,1.2960000000000007,-1.7199999999999993,2.2799999999999985
1024,50,17,225,0.13280000000000022,0.15999999999999903,-1.407999999999996,1.2359999999999995,-1.9400000000000028,1.9600000000000006
2048,10,17,225,0.3377777777777778,0.20000000000000018,-1.34,2.1399999999999997,-2.100000000000002,3.0
2048,25,17,225,0.4167111111111112,0.3599999999999992,-0.8400000000000019,1.7359999999999978,-1.1199999999999988,2.400000000000002
2048,50,17,225,0.36239999999999967,0.38000000000000256,-0.9040000000000026,1.5080000000000007,-1.6000000000000014,2.400000000000002
all,10,18,225,0.7424456482336014,0.6723963599595539,0.019926941116038543,1.8552556002297536,-0.019483682415971648,2.1424468696151666
all,25,18,225,0.8951365543509111,0.8305274971941667,0.1163556057696502,2.089373923032737,0.0584510472479316,2.763928776565189
all,50,18,225,1.0132856527017715,0.9585439838220411,0.10131514856307255,2.444572085008616,0.04578665367754309,3.0695002871912678
1024,10,18,225,0.4191111111111112,0.30000000000000027,-1.2999999999999978,2.3400000000000016,-2.100000000000002,2.9000000000000026
1024,25,18,225,0.35999999999999976,0.28000000000000247,-1.0000000000000009,1.8800000000000006,-1.479999999999998,2.5600000000000014
1024,50,18,225,0.27022222222222214,0.25999999999999357,-0.9000000000000008,1.4720000000000026,-1.5600000000000003,2.2199999999999998
2048,10,18,45,-0.062222222222221846,0.0,-1.080000000000001,0.9800000000000005,-1.100000000000001,1.100000000000001
2048,25,18,45,-0.07822222222222225,-0.040000000000001146,-0.5599999999999994,0.476,-1.1199999999999988,0.5200000000000038
2048,50,18,45,-0.11555555555555605,-0.13999999999999568,-0.5600000000000044,0.4480000000000038,-0.7199999999999984,0.6799999999999917
all,10,19,225,0.6082335567460195,0.5732152162584686,0.04896783485357826,1.2939747518399205,-0.03360537686029619,1.6399572649572647
all,25,19,225,0.7325359292344448,0.7566440854611778,0.07615574862825936,1.513638838750817,0.03173029251363757,1.9829059829059859
all,50,19,225,0.8721238702278068,0.8792735042735034,0.10930366012751769,1.8624547493188148,0.05664906385021151,2.5288461538461537
1024,10,19,225,0.1742222222222222,0.10000000000000009,-1.2399999999999989,2.099999999999996,-2.1999999999999966,2.8
1024,25,19,225,0.2540444444444444,0.20000000000000018,-0.9920000000000007,1.6480000000000012,-1.4399999999999968,2.24
1024,50,19,225,0.24231111111111128,0.21999999999999797,-1.1919999999999953,1.8039999999999983,-1.6000000000000014,2.2799999999999985
2048,10,19,45,-0.14444444444444451,0.10000000000000009,-1.6800000000000015,0.7900000000000006,-1.7000000000000015,0.8000000000000007
2048,25,19,45,-0.056888888888888794,-0.039999999999995595,-0.7600000000000046,0.7159999999999982,-0.8399999999999963,0.880000000000003
2048,50,19,45,0.09911111111111046,0.14000000000000123,-0.5740000000000028,0.8139999999999985,-0.660000000000005,0.8799999999999975
all,10,20,225,0.8766194500115518,0.763888888888889,0.08215085884988761,2.23919478981646,0.0,2.5103611604499725
all,25,20,225,1.079540157400291,0.9568181818181809,0.0869195258202149,2.606986382474838,0.04042445679636186,3.272942569567791
all,50,20,225,1.2459678971295902,1.1410256410256392,0.1238914502198396,3.0056818181818175,0.02912621359223433,4.157489638839546
1024,10,20,225,0.1582222222222222,0.20000000000000018,-1.28,2.04,-2.599999999999997,3.5000000000000004
1024,25,20,225,0.35928888888888927,0.24000000000000132,-0.9599999999999997,2.0160000000000005,-1.5199999999999991,2.4799999999999986
1024,50,20,225,0.4079111111111109,0.35999999999999366,-0.7999999999999963,2.080000000000003,-1.2800000000000034,2.9600000000000017
2048,10,20,45,0.282222222222222,0.40000000000000036,-0.8000000000000007,1.4700000000000004,-0.9000000000000008,1.6000000000000014
2048,25,20,45,0.19822222222222158,0.31999999999999806,-0.9080000000000038,1.0280000000000016,-0.9600000000000025,1.0800000000000005
2048,50,20,45,0.10799999999999978,0.18000000000000238,-0.5980000000000002,0.6699999999999974,-0.7400000000000018,0.7999999999999952
all,10,21,225,0.8351564181868518,0.770456960680127,0.023866348448686736,2.1386363636363637,-0.05442850074220962,2.6172106824925794
all,25,21,225,1.1308682276358824,1.047821466524973,0.059952267303107216,2.774545454545453,0.034367541766111565,3.3970326409495573
all,50,21,225,1.3565887966366017,1.2569732937685485,0.0822911694510764,3.257045454545452,0.06396181384247801,4.078338278931754
1024,10,21,225,0.13244444444444456,0.20000000000000018,-1.7999999999999927,1.640000000000001,-3.299999999999997,2.2999999999999963
1024,25,21,225,-0.17368888888888914,-0.24000000000000132,-1.3759999999999983,1.5919999999999994,-1.959999999999995,2.839999999999998
1024,50,21,225,0.10195555555555535,0.0200000000000089,-1.1999999999999988,1.908000000000003,-1.980000000000004,3.300000000000003
2048,10,21,45,0.01333333333333316,0.10000000000000009,-0.6000000000000005,0.6800000000000003,-1.0000000000000009,0.9000000000000008
2048,25,21,45,0.07288888888888856,0.11999999999999789,-0.4639999999999983,0.46799999999999714,-0.5200000000000038,0.520000000000001
2048,50,21,45,0.04355555555555568,0.07999999999999674,-0.4740000000000022,0.42000000000000315,-0.5600000000000049,0.5000000000000004
all,10,22,225,0.6092954975873323,0.5496571554965718,0.04627589246363861,1.4069724770642191,0.02038342882327293,1.9357798165137607
all,25,22,225,0.771267982134864,0.6673532440782726,0.05566328779197938,1.8190091743119272,0.017849272807402006,2.493944954128441
all,50,22,225,0.9177889756800091,0.7863129565551685,0.07122080211546922,2.143752981499182,0.034817100044076676,2.842568807339449
1024,10,22,225,0.4133333333333334,0.40000000000000036,-1.5999999999999999,2.500000000000002,-2.300000000000002,3.6999999999999975
1024,25,22,225,0.4076444444444446,0.31999999999999806,-0.8799999999999997,2.4560000000000017,-1.8399999999999972,2.879999999999999
1024,50,22,225,0.3152888888888891,0.28000000000000247,-0.8040000000000013,1.9400000000000017,-1.4600000000000057,2.939999999999998
