scope,k,model_a,model_b,n,mean,median,p025,p975,min,max
1024,50,specter2,pubmedbert,130,1.0603076923076922,0.8800000000000002,-0.011000000000003087,2.635499999999998,-0.10000000000000009,3.4400000000000013
1024,10,specter2,biobert,130,0.7446153846153845,0.7000000000000006,-0.5775000000000005,2.5000000000000018,-1.100000000000001,2.8
1024,25,specter2,biobert,130,0.8953846153846152,0.8799999999999975,-0.46200000000000213,2.5419999999999985,-0.9199999999999986,2.879999999999999
1024,50,specter2,biobert,130,1.0823076923076922,0.8800000000000002,0.009000000000000261,2.7129999999999996,-0.12000000000000344,3.300000000000003
1024,10,specter2,simcse,130,0.4053846153846154,0.30000000000000027,-0.7775000000000006,1.900000000000001,-1.3999999999999986,2.200000000000002
1024,25,specter2,simcse,130,0.6036923076923076,0.520000000000001,-0.6040000000000012,2.003999999999997,-1.0000000000000009,2.72
1024,50,specter2,simcse,130,0.6881538461538461,0.5899999999999989,-0.26650000000000207,2.130999999999998,-0.5000000000000004,3.1
1024,10,scincl,scibert,130,0.403076923076923,0.40000000000000036,-0.8774999999999965,1.9999999999999991,-1.8000000000000016,2.9999999999999973
1024,25,scincl,scibert,130,0.5566153846153847,0.5200000000000025,-0.43099999999999694,1.7329999999999988,-0.6400000000000017,1.880000000000004
1024,50,scincl,scibert,130,0.6115384615384614,0.5000000000000004,-0.17750000000000016,1.9130000000000011,-0.24000000000000132,2.2799999999999985
1024,10,scincl,bert,130,0.40615384615384614,0.30000000000000027,-0.7775000000000006,2.055,-1.799999999999999,2.4999999999999996
1024,25,scincl,bert,130,0.5461538461538461,0.520000000000001,-0.422000000000001,1.6529999999999976,-0.6400000000000017,2.2399999999999975
1024,50,scincl,bert,130,0.6926153846153844,0.6099999999999967,-0.09099999999999983,1.9154999999999993,-0.31999999999999806,2.2999999999999963
1024,10,scincl,mpnet,130,0.5238461538461543,0.5000000000000004,-1.0000000000000009,2.477499999999997,-1.4000000000000012,3.9999999999999982
1024,25,scincl,mpnet,130,0.3655384615384611,0.2799999999999969,-0.7949999999999987,1.8000000000000016,-1.200000000000001,4.560000000000003
1024,50,scincl,mpnet,130,0.3912307692307689,0.33999999999999586,-0.5374999999999963,1.5775000000000006,-0.759999999999994,2.72
1024,10,scincl,minilm,130,0.259230769230769,0.20000000000000018,-1.3775000000000013,2.2774999999999954,-1.7000000000000015,3.3999999999999977
1024,25,scincl,minilm,130,0.3516923076923073,0.33999999999999864,-0.6619999999999949,1.4710000000000016,-1.2800000000000034,2.52
1024,50,scincl,minilm,130,0.45200000000000057,0.3200000000000036,-0.370999999999998,1.739999999999997,-0.880000000000003,2.3599999999999954
1024,10,scincl,pubmedbert,130,0.5107692307692309,0.40000000000000036,-0.49999999999999983,2.077499999999999,-0.7000000000000006,3.0
1024,25,scincl,pubmedbert,130,0.5295384615384612,0.3799999999999998,-0.40000000000000036,1.781999999999996,-0.4400000000000015,2.32
